iter	RMSE
0	5.207719125
1	5.026447019
2	4.851120284
3	4.700490041
4	4.548581759
5	4.404791054
6	4.260292081
7	4.143813092
8	4.021657636
9	3.908657775
10	3.805882854
11	3.704884513
12	3.609602823
13	3.517224373
14	3.442828446
15	3.361384365
16	3.291620526
17	3.229060117
18	3.168869499
19	3.109228117
20	3.054501239
21	3.006349269
22	2.963606608
23	2.920105498
24	2.881012531
25	2.844632192
26	2.810178561
27	2.777882734
28	2.748825247
29	2.722111151
30	2.696320602
31	2.673192901
32	2.652413399
33	2.631964873
34	2.615475783
35	2.596088403
36	2.578898666
37	2.562720749
38	2.546089466
39	2.534483228
40	2.52188375
41	2.509105656
42	2.499617335
43	2.490054702
44	2.480759289
45	2.472096188
46	2.46251747
47	2.455598008
48	2.447280791
49	2.438703877
50	2.432173898
51	2.426222881
52	2.419658506
53	2.414615719
54	2.409487159
55	2.40446186
56	2.400158129
57	2.396561238
58	2.390843274
59	2.387040667
60	2.382932234
61	2.379719699
62	2.375589797
63	2.372986576
64	2.369651743
65	2.366480009
66	2.36206485
67	2.360225227
68	2.358907209
69	2.357892417
70	2.355656554
71	2.355395835
72	2.352524085
73	2.350383754
74	2.348221529
75	2.346261614
76	2.342519464
77	2.341085246
78	2.338774891
79	2.338546791
80	2.335291642
81	2.334247707
82	2.33282392
83	2.330953568
84	2.327522047
85	2.32503153
86	2.324746395
87	2.322213095
88	2.319307151
89	2.318284162
90	2.315682124
91	2.315227208
92	2.312467816
93	2.31226922
94	2.310880847
95	2.309109257
96	2.306997848
97	2.30606359
98	2.303695997
99	2.301815928
100	2.30020544
101	2.298960457
102	2.297725437
103	2.295637497
104	2.293899882
105	2.292935001
106	2.292030209
107	2.290730546
108	2.289854031
109	2.288371017
110	2.286759925
111	2.285086979
112	2.284303911
113	2.282195008
114	2.281951114
115	2.281006649
116	2.280881329
117	2.280268405
118	2.27902457
119	2.276645583
120	2.274816494
121	2.272874222
122	2.27225511
123	2.272121543
124	2.270338539
125	2.270082255
126	2.268716348
127	2.265772024
128	2.264580013
129	2.263806122
130	2.262904106
131	2.261026507
132	2.259820387
133	2.258153271
134	2.255982553
135	2.255316182
136	2.255143399
137	2.252564415
138	2.252397559
139	2.252247566
140	2.250579394
141	2.250249176
142	2.249693462
143	2.247652473
144	2.24723238
145	2.246522088
146	2.245868418
147	2.243674118
148	2.24293385
149	2.242703729
150	2.241594618
151	2.240834925
152	2.238499881
153	2.237097429
154	2.235020938
155	2.232929084
156	2.2321589
157	2.229993232
158	2.229500292
159	2.226861572
160	2.226708664
161	2.226166957
162	2.22548555
163	2.224608607
164	2.221952589
165	2.221766372
166	2.221074751
167	2.2209126
168	2.220071526
169	2.219953729
170	2.21850747
171	2.216682994
172	2.215897985
173	2.214318684
174	2.214108041
175	2.212904201
176	2.212748808
177	2.211762448
178	2.211482701
179	2.210234902
180	2.208199462
181	2.207359027
182	2.207209935
183	2.207112735
184	2.207022626
185	2.205726406
186	2.205568902
187	2.204131442
188	2.201534217
189	2.200958824
190	2.199493464
191	2.199347354
192	2.197371885
193	2.195880885
194	2.195584901
195	2.192197958
196	2.190579667
197	2.18993427
198	2.18893875
199	2.188824987
200	2.187081207
201	2.184987001
202	2.184213785
203	2.181793332
204	2.18080059
205	2.178519317
206	2.178368434
207	2.177617119
208	2.176918594
209	2.175428701
210	2.174458313
211	2.171107092
212	2.170404439
213	2.168439499
214	2.16485292
215	2.163742412
216	2.163142114
217	2.162094314
218	2.159029409
219	2.15782274
220	2.157548033
221	2.155898953
222	2.155516729
223	2.155124415
224	2.152712346
225	2.152044679
226	2.150860638
227	2.14805624
228	2.146318695
229	2.144040732
230	2.143724733
231	2.143201092
232	2.141914123
233	2.141367088
234	2.13928229
235	2.138664138
236	2.137929059
237	2.136994804
238	2.132683271
239	2.1316367
240	2.130334245
241	2.127851085
242	2.12626701
243	2.125674383
244	2.124134279
245	2.123559322
246	2.120646148
247	2.120092184
248	2.118069639
249	2.11651126
250	2.115430877
251	2.112585063
252	2.110750264
253	2.108256181
254	2.106380821
255	2.103791953
256	2.101022127
257	2.100587073
258	2.097867701
259	2.097334201
260	2.094796071
261	2.093910613
262	2.091519509
263	2.090508058
264	2.0885717
265	2.087008093
266	2.08519511
267	2.08469779
268	2.083232586
269	2.082752881
270	2.082276059
271	2.080055346
272	2.079612138
273	2.079157468
274	2.076621614
275	2.073844928
276	2.073418731
277	2.071569252
278	2.068568914
279	2.06820269
280	2.066629132
281	2.066273248
282	2.064716461
283	2.064371108
284	2.063964628
285	2.061587377
286	2.058779297
287	2.058280996
288	2.056392408
289	2.055172522
290	2.054848032
291	2.053147041
292	2.051446852
293	2.051088281
294	2.050229578
295	2.050156385
296	2.049822283
297	2.049755241
298	2.049281884
299	2.04921196
