iter	Passed	Remaining
0	3	5278
1	5	4301
2	7	3958
3	10	3938
4	13	3914
5	15	3978
6	18	3992
7	21	3977
8	23	3960
9	26	3932
10	28	3915
11	31	3919
12	34	3907
13	36	3898
14	39	3887
15	41	3873
16	44	3866
17	47	3885
18	52	4082
19	55	4094
20	58	4105
21	60	4085
22	64	4119
23	66	4110
24	69	4092
25	71	4075
26	74	4063
27	77	4049
28	79	4054
29	82	4039
30	84	4027
31	87	4015
32	90	4007
33	92	3998
34	95	3990
35	97	3982
36	100	3972
37	102	3962
38	105	3954
39	108	3951
40	110	3945
41	113	3937
42	115	3929
43	118	3924
44	121	3917
45	124	3927
46	127	3927
47	129	3920
48	132	3914
49	134	3908
50	137	3903
51	141	3928
52	143	3928
53	147	3943
54	151	3970
55	155	3999
56	158	4018
57	161	4013
58	164	4009
59	166	4003
60	169	3997
61	172	3991
62	174	3986
63	177	3980
64	180	3976
65	182	3969
66	191	4091
67	195	4122
68	199	4129
69	202	4141
70	206	4146
71	209	4154
72	212	4160
73	216	4173
74	220	4180
75	223	4185
76	226	4190
77	230	4197
78	233	4205
79	237	4211
80	240	4214
81	244	4222
82	248	4249
83	252	4250
84	254	4242
85	257	4232
86	260	4226
87	263	4222
88	265	4214
89	268	4203
90	270	4193
91	273	4184
92	276	4176
93	278	4166
94	281	4159
95	283	4151
96	286	4143
97	289	4134
98	291	4126
99	294	4120
100	296	4111
101	299	4102
102	301	4095
103	304	4086
104	307	4080
105	310	4078
106	312	4071
107	315	4065
108	317	4056
109	320	4049
110	323	4046
111	327	4059
112	330	4053
113	332	4046
114	335	4038
115	337	4032
116	340	4026
117	343	4018
118	345	4010
119	348	4003
120	350	3995
121	353	3990
122	356	3987
123	358	3982
124	361	3976
125	364	3972
126	366	3966
127	369	3961
128	372	3956
129	375	3953
130	377	3945
131	380	3938
132	382	3931
133	385	3924
134	387	3918
135	390	3912
136	392	3906
137	395	3899
138	397	3893
139	400	3887
140	402	3880
141	405	3879
142	408	3873
143	410	3867
144	413	3861
145	415	3855
146	418	3848
147	420	3845
148	423	3839
149	425	3833
150	428	3827
151	431	3823
152	433	3817
153	436	3813
154	438	3808
155	441	3803
156	444	3799
157	446	3793
158	449	3787
159	451	3782
160	454	3776
161	456	3771
162	459	3766
163	461	3761
164	464	3756
165	469	3770
166	472	3772
167	476	3774
168	478	3769
169	481	3770
170	484	3767
171	487	3761
172	489	3756
173	492	3750
174	494	3744
175	497	3740
176	499	3736
177	502	3730
178	504	3726
179	507	3721
180	510	3717
181	513	3717
182	516	3715
183	518	3710
184	521	3707
185	524	3702
186	526	3696
187	529	3692
188	531	3687
189	534	3684
190	537	3680
191	539	3675
192	543	3677
193	545	3674
194	548	3670
195	550	3664
196	553	3660
197	555	3655
198	559	3656
199	561	3652
200	564	3647
201	566	3642
202	569	3637
203	571	3633
204	574	3628
205	576	3623
206	579	3618
207	581	3614
208	584	3611
209	587	3607
210	589	3603
211	592	3599
212	595	3595
213	597	3590
214	600	3586
215	603	3589
216	608	3595
217	610	3592
218	613	3588
219	616	3584
220	618	3580
221	621	3576
222	623	3571
223	626	3567
224	628	3563
225	631	3558
226	633	3555
227	636	3551
228	639	3546
229	641	3543
230	644	3539
231	646	3534
232	649	3531
233	651	3527
234	654	3524
235	657	3519
236	659	3515
237	662	3511
238	665	3510
239	668	3507
240	670	3503
241	673	3499
242	675	3496
243	678	3492
244	681	3490
245	683	3486
246	686	3482
247	688	3478
248	691	3473
249	694	3471
250	696	3468
251	699	3465
252	702	3460
253	704	3456
254	707	3452
255	709	3449
256	712	3445
257	714	3441
258	717	3437
259	719	3433
260	722	3430
261	726	3430
262	729	3432
263	733	3433
264	736	3433
265	740	3433
266	743	3434
267	747	3433
268	750	3433
269	753	3432
270	756	3432
271	760	3431
272	763	3431
273	766	3430
274	770	3430
275	775	3437
276	778	3437
277	781	3436
278	785	3436
279	791	3446
280	795	3452
281	798	3448
282	802	3449
283	806	3452
284	809	3449
285	812	3447
286	814	3443
287	817	3440
288	819	3436
289	822	3432
290	825	3428
291	827	3424
292	830	3420
293	834	3421
294	872	3564
295	880	3581
296	888	3599
297	897	3618
298	905	3636
299	923	3693
300	931	3710
301	939	3728
302	948	3746
303	972	3824
304	981	3846
305	986	3848
306	990	3847
307	1012	3917
308	1018	3925
309	1021	3920
310	1024	3915
311	1026	3909
312	1029	3903
313	1031	3897
314	1034	3891
315	1036	3884
316	1039	3878
317	1041	3872
318	1044	3866
319	1046	3860
320	1049	3854
321	1051	3848
322	1054	3843
323	1057	3837
324	1060	3832
325	1062	3826
326	1065	3820
327	1067	3814
328	1070	3809
329	1072	3803
330	1075	3797
331	1077	3791
332	1080	3785
333	1082	3779
334	1085	3774
335	1087	3768
336	1090	3763
337	1092	3757
338	1095	3751
339	1097	3746
340	1100	3741
341	1103	3736
342	1106	3730
343	1108	3725
344	1111	3720
345	1113	3714
346	1116	3709
347	1118	3703
348	1121	3698
349	1123	3692
350	1126	3687
351	1129	3682
352	1131	3677
353	1134	3671
354	1136	3665
355	1139	3660
356	1141	3655
357	1144	3649
358	1148	3649
359	1150	3644
360	1153	3639
361	1156	3634
362	1158	3629
363	1161	3624
364	1163	3619
365	1166	3614
366	1168	3608
367	1171	3603
368	1173	3598
369	1176	3594
370	1180	3591
371	1183	3587
372	1185	3582
373	1187	3576
374	1190	3571
375	1193	3566
376	1195	3562
377	1198	3557
378	1200	3552
379	1203	3547
380	1206	3542
381	1208	3537
382	1211	3532
383	1213	3527
384	1216	3522
385	1219	3518
386	1222	3514
387	1224	3509
388	1227	3505
389	1229	3500
390	1232	3495
391	1235	3491
392	1237	3485
393	1240	3481
394	1242	3476
395	1245	3471
396	1247	3466
397	1250	3462
398	1253	3458
399	1256	3454
400	1258	3450
401	1261	3445
402	1264	3441
403	1266	3436
404	1269	3432
405	1272	3427
406	1274	3423
407	1277	3418
408	1280	3414
409	1282	3410
410	1287	3410
411	1289	3406
412	1292	3402
413	1295	3398
414	1297	3393
415	1300	3389
416	1303	3385
417	1305	3380
418	1308	3375
419	1310	3370
420	1313	3366
421	1316	3362
422	1318	3357
423	1321	3353
424	1323	3348
425	1326	3344
426	1329	3340
427	1331	3336
428	1334	3331
429	1337	3327
430	1339	3323
431	1342	3319
432	1345	3315
433	1349	3313
434	1352	3310
435	1354	3306
436	1357	3301
437	1359	3297
438	1362	3293
439	1365	3289
440	1367	3284
441	1370	3280
442	1373	3276
443	1376	3273
444	1379	3269
445	1381	3265
446	1384	3261
447	1387	3257
448	1389	3253
449	1392	3250
450	1395	3246
451	1398	3242
452	1401	3238
453	1403	3234
454	1406	3230
455	1409	3226
456	1411	3222
457	1414	3218
458	1417	3214
459	1419	3210
460	1422	3206
461	1425	3201
462	1428	3199
463	1432	3197
464	1434	3193
465	1437	3189
466	1439	3184
467	1442	3180
468	1445	3176
469	1447	3172
470	1450	3168
471	1453	3164
472	1455	3160
473	1458	3156
474	1460	3152
475	1463	3148
476	1466	3144
477	1468	3140
478	1471	3136
479	1474	3132
480	1477	3129
481	1479	3124
482	1482	3120
483	1484	3116
484	1487	3113
485	1490	3110
486	1493	3106
487	1496	3102
488	1498	3098
489	1501	3094
490	1504	3091
491	1507	3088
492	1510	3085
493	1513	3081
494	1515	3077
495	1518	3073
496	1521	3069
497	1523	3065
498	1526	3061
499	1528	3057
500	1531	3053
501	1533	3049
502	1537	3046
503	1539	3042
504	1542	3038
505	1544	3034
506	1547	3031
507	1550	3027
508	1552	3023
509	1555	3019
510	1558	3015
511	1560	3011
512	1563	3007
513	1567	3007
514	1570	3004
515	1573	3000
516	1576	2996
517	1578	2992
518	1581	2989
519	1584	2987
520	1589	2986
521	1592	2984
522	1596	2983
523	1600	2981
524	1604	2979
525	1607	2977
526	1611	2975
527	1614	2971
528	1617	2968
529	1619	2964
530	1622	2960
531	1625	2957
532	1628	2954
533	1632	2952
534	1635	2949
535	1638	2946
536	1641	2943
537	1644	2940
538	1647	2936
539	1649	2933
540	1652	2929
541	1655	2925
542	1657	2921
543	1660	2917
544	1662	2914
545	1665	2910
546	1668	2906
547	1670	2902
548	1673	2899
549	1676	2894
550	1678	2890
551	1681	2886
552	1683	2883
553	1686	2879
554	1689	2876
555	1691	2872
556	1694	2868
557	1696	2864
558	1699	2860
559	1702	2857
560	1706	2856
561	1709	2853
562	1712	2849
563	1714	2845
564	1717	2842
565	1720	2838
566	1722	2835
567	1725	2831
568	1728	2827
569	1730	2823
570	1733	2819
571	1735	2816
572	1738	2812
573	1740	2808
574	1743	2804
575	1746	2801
576	1749	2797
577	1751	2794
578	1754	2790
579	1756	2786
580	1759	2783
581	1761	2779
582	1764	2775
583	1767	2771
584	1770	2768
585	1772	2764
586	1775	2761
587	1778	2757
588	1780	2754
589	1783	2750
590	1785	2746
591	1788	2743
592	1791	2740
593	1794	2736
594	1797	2733
595	1799	2730
596	1802	2726
597	1804	2722
598	1807	2718
599	1810	2715
600	1812	2711
601	1815	2708
602	1818	2704
603	1820	2700
604	1823	2697
605	1825	2693
606	1828	2690
607	1830	2686
608	1833	2682
609	1835	2678
610	1838	2674
611	1842	2674
612	1845	2670
613	1848	2667
614	1851	2663
615	1853	2659
616	1855	2656
617	1858	2652
618	1861	2649
619	1863	2645
620	1866	2642
621	1869	2638
622	1871	2635
623	1874	2631
624	1877	2627
625	1879	2624
626	1882	2620
627	1885	2617
628	1888	2614
629	1890	2610
630	1893	2607
631	1896	2604
632	1898	2600
633	1902	2599
634	1905	2595
635	1907	2591
636	1910	2588
637	1913	2585
638	1916	2581
639	1918	2578
640	1921	2574
641	1924	2571
642	1926	2568
643	1929	2564
644	1932	2561
645	1935	2558
646	1937	2554
647	1940	2551
648	1942	2547
649	1945	2544
650	1948	2540
651	1951	2537
652	1953	2533
653	1956	2530
654	1959	2527
655	1961	2523
656	1964	2520
657	1966	2517
658	1969	2513
659	1972	2510
660	1974	2506
661	1977	2503
662	1980	2500
663	1984	2498
664	1987	2495
665	1990	2492
666	1993	2489
667	1995	2485
668	1998	2482
669	2001	2478
670	2003	2475
671	2006	2472
672	2009	2468
673	2011	2465
674	2014	2462
675	2017	2458
676	2019	2455
677	2022	2451
678	2024	2448
679	2027	2444
680	2030	2442
681	2033	2439
682	2036	2436
683	2039	2433
684	2042	2430
685	2046	2428
686	2049	2424
687	2051	2421
688	2054	2418
689	2057	2414
690	2059	2411
691	2062	2408
692	2065	2404
693	2067	2401
694	2070	2398
695	2073	2394
696	2075	2391
697	2078	2388
698	2081	2385
699	2084	2381
700	2086	2378
701	2089	2375
702	2091	2371
703	2094	2368
704	2097	2365
705	2099	2361
706	2102	2358
707	2105	2355
708	2107	2351
709	2110	2347
710	2112	2344
711	2115	2341
712	2118	2338
713	2122	2336
714	2125	2333
715	2128	2330
716	2130	2326
717	2133	2323
718	2136	2320
719	2138	2316
720	2141	2313
721	2143	2310
722	2146	2306
723	2149	2303
724	2151	2300
725	2154	2297
726	2157	2293
727	2160	2290
728	2162	2287
729	2165	2284
730	2168	2280
731	2170	2277
732	2173	2274
733	2176	2271
734	2179	2267
735	2181	2264
736	2184	2261
737	2187	2258
738	2189	2254
739	2192	2251
740	2194	2248
741	2197	2245
742	2200	2241
743	2202	2238
744	2205	2235
745	2208	2231
746	2210	2228
747	2213	2225
748	2216	2222
749	2218	2218
750	2221	2215
751	2224	2212
752	2226	2209
753	2229	2205
754	2232	2202
755	2235	2199
756	2237	2196
757	2240	2193
758	2243	2190
759	2245	2186
760	2248	2183
761	2251	2180
762	2254	2177
763	2256	2174
764	2259	2171
765	2262	2167
766	2264	2164
767	2267	2161
768	2270	2158
769	2274	2156
770	2277	2153
771	2279	2149
772	2282	2146
773	2285	2143
774	2288	2140
775	2290	2137
776	2293	2133
777	2295	2130
778	2298	2127
779	2301	2124
780	2303	2120
781	2306	2117
782	2309	2114
783	2311	2111
784	2314	2107
785	2316	2104
786	2319	2101
787	2322	2098
788	2324	2094
789	2327	2091
790	2330	2088
791	2332	2085
792	2335	2082
793	2337	2078
794	2340	2075
795	2342	2072
796	2345	2068
797	2348	2065
798	2350	2062
799	2353	2059
800	2356	2056
801	2358	2052
802	2361	2049
803	2363	2046
804	2366	2043
805	2369	2040
806	2372	2037
807	2374	2033
808	2377	2030
809	2380	2027
810	2383	2024
811	2385	2021
812	2388	2018
813	2391	2015
814	2393	2012
815	2396	2008
816	2399	2005
817	2401	2002
818	2404	1999
819	2407	1996
820	2410	1993
821	2415	1992
822	2418	1989
823	2421	1986
824	2424	1983
825	2426	1980
826	2429	1977
827	2432	1973
828	2434	1970
829	2437	1967
830	2440	1964
831	2442	1961
832	2445	1958
833	2448	1955
834	2450	1951
835	2453	1948
836	2456	1945
837	2459	1942
838	2462	1940
839	2465	1937
840	2468	1933
841	2470	1930
842	2473	1927
843	2476	1924
844	2479	1921
845	2482	1918
846	2484	1915
847	2487	1912
848	2489	1909
849	2492	1906
850	2495	1903
851	2498	1900
852	2500	1896
853	2503	1893
854	2505	1890
855	2509	1887
856	2511	1884
857	2514	1881
858	2517	1878
859	2519	1875
860	2522	1871
861	2524	1868
862	2527	1865
863	2530	1862
864	2532	1859
865	2535	1856
866	2538	1853
867	2541	1850
868	2544	1847
869	2546	1844
870	2549	1840
871	2552	1838
872	2556	1836
