Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,FallState,DwellState
2025-12-03 23:29:09.253119,1,2,5,21,76,0,0
2025-12-03 23:29:22.718559,1,2,3,22,75,0,0
2025-12-03 23:29:36.074754,1,2,3,19,71,0,0
2025-12-03 23:29:48.886998,1,2,9,18,67,0,0
2025-12-03 23:30:02.799332,1,2,6,18,75,0,0
2025-12-03 23:30:16.662285,1,2,2,19,70,0,0
2025-12-03 23:30:29.478329,1,2,5,20,72,0,0
2025-12-03 23:30:42.339682,1,2,5,20,62,0,0
2025-12-03 23:30:56.301463,1,2,3,18,68,0,0
2025-12-03 23:31:09.668470,1,1,1,18,69,0,0
2025-12-03 23:31:22.430836,1,2,1,18,62,0,0
2025-12-03 23:31:36.341354,1,1,2,19,62,0,0
2025-12-03 23:31:50.254585,1,2,3,23,72,0,0
2025-12-03 23:32:03.079005,1,1,2,25,82,0,0
2025-12-03 23:32:15.937111,1,2,1,24,83,0,0
2025-12-03 23:32:29.797461,1,1,2,24,69,0,0
2025-12-03 23:32:44.312435,1,1,1,23,69,0,0
2025-12-03 23:32:57.623600,1,1,2,21,69,0,0
2025-12-03 23:33:11.585802,1,2,5,21,69,0,0
2025-12-03 23:33:24.449919,1,2,3,21,68,0,0
2025-12-03 23:33:37.312640,1,2,3,20,65,0,0
2025-12-03 23:33:51.224941,1,2,2,21,78,0,0
2025-12-03 23:34:04.087277,1,2,5,21,89,0,0
2025-12-03 23:34:17.400557,1,2,3,21,74,0,0
2025-12-03 23:34:31.267041,1,1,3,21,78,0,0
2025-12-03 23:34:44.639734,1,2,4,21,69,0,0
2025-12-03 23:34:57.503382,1,1,2,21,63,0,0
2025-12-03 23:35:10.368252,1,1,1,21,63,0,0
2025-12-03 23:35:23.730942,1,1,2,21,69,0,0
2025-12-03 23:35:37.048525,1,1,2,18,80,0,0
2025-12-03 23:35:49.913669,1,1,2,17,83,0,0
2025-12-03 23:36:03.814901,1,1,1,19,83,0,0
2025-12-03 23:36:16.626258,1,2,1,19,80,0,0
2025-12-03 23:36:30.993997,1,2,1,20,79,0,0
2025-12-03 23:36:43.856717,1,1,1,20,79,0,0
2025-12-03 23:36:57.720204,1,2,1,20,72,0,0
2025-12-03 23:37:10.540517,1,2,2,18,70,0,0
2025-12-03 23:37:23.405944,1,2,2,19,70,0,0
2025-12-03 23:37:36.308534,1,2,1,20,70,0,0
2025-12-03 23:37:49.122651,1,2,1,20,71,0,0
2025-12-03 23:38:01.989376,1,2,2,19,74,0,0
2025-12-03 23:38:15.900165,1,1,1,19,64,0,0
2025-12-03 23:38:29.857641,1,2,13,23,62,0,0
2025-12-03 23:38:42.770799,1,2,18,23,106,0,0
2025-12-03 23:38:55.578294,1,2,8,23,118,0,0
2025-12-03 23:39:08.445563,1,1,4,19,115,0,0
2025-12-03 23:39:21.355373,1,1,3,17,85,0,0
2025-12-03 23:39:34.215290,1,2,3,16,76,0,0
2025-12-03 23:39:47.078775,1,2,2,17,71,0,0
2025-12-03 23:40:00.895328,1,2,2,19,71,0,0
2025-12-03 23:40:13.710822,1,2,2,22,71,0,0
2025-12-03 23:40:27.575741,1,1,1,22,71,0,0
2025-12-03 23:40:40.488793,1,1,1,19,67,0,0
2025-12-03 23:40:53.851873,1,2,1,19,67,0,0
2025-12-03 23:41:06.673206,1,2,1,18,67,0,0
2025-12-03 23:41:20.135025,1,2,1,18,66,0,0
2025-12-03 23:41:34.496281,1,1,1,18,70,0,0
2025-12-03 23:41:47.866371,1,2,2,18,63,0,0
2025-12-03 23:42:00.673865,1,2,1,18,63,0,0
2025-12-03 23:42:13.537512,1,2,1,16,63,0,0
2025-12-03 23:42:27.499218,1,2,10,18,63,0,0
2025-12-03 23:42:40.825992,1,1,1,15,63,0,0
2025-12-03 23:42:53.626917,1,2,4,12,63,0,0
2025-12-03 23:43:07.602692,1,2,1,17,63,0,0
2025-12-03 23:43:22.000805,1,2,3,20,62,0,0
2025-12-03 23:43:34.816360,1,2,5,20,70,0,0
2025-12-03 23:43:48.732106,1,1,1,20,85,0,0
2025-12-03 23:44:01.601192,1,1,1,19,88,0,0
2025-12-03 23:44:15.865452,1,1,1,19,88,0,0
2025-12-03 23:44:28.695106,1,2,2,17,84,0,0
2025-12-03 23:44:41.596616,1,1,1,16,86,0,0
2025-12-03 23:44:54.563426,1,1,2,17,81,0,0
2025-12-03 23:45:07.878051,1,1,1,17,71,0,0
2025-12-03 23:45:21.852108,1,2,2,18,71,0,0
2025-12-03 23:45:36.309842,1,1,1,17,71,0,0
2025-12-03 23:45:50.126311,1,1,4,17,71,0,0
2025-12-03 23:46:03.543731,1,1,3,17,71,0,0
2025-12-03 23:46:16.452709,1,2,3,17,71,0,0
2025-12-03 23:46:29.715589,1,2,2,24,114,0,0
2025-12-03 23:46:43.682016,1,2,3,24,112,0,0
