Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2025-12-11 14:36:58.927081,1,2,5,0,0
2025-12-11 14:37:02.824086,1,2,5,0,0
2025-12-11 14:37:06.170300,1,2,2,0,0
2025-12-11 14:37:09.971900,1,2,6,0,0
2025-12-11 14:37:14.266989,1,2,8,0,0
2025-12-11 14:37:17.626495,1,2,8,0,0
2025-12-11 14:37:21.038936,1,2,3,0,0
2025-12-11 14:37:23.839382,1,2,4,0,0
2025-12-11 14:37:27.199746,1,2,1,0,0
2025-12-11 14:37:30.970338,1,2,7,0,0
2025-12-11 14:37:34.833080,1,2,8,0,0
2025-12-11 14:37:38.812213,1,2,5,0,0
2025-12-11 14:37:41.601699,1,2,8,0,0
2025-12-11 14:37:44.436720,1,2,6,0,0
2025-12-11 14:37:48.262071,1,2,8,0,0
2025-12-11 14:37:51.563528,1,2,8,0,0
2025-12-11 14:37:55.378584,1,2,40,0,0
2025-12-11 14:37:59.232142,1,2,11,0,0
2025-12-11 14:38:02.992992,1,2,14,0,0
2025-12-11 14:38:06.806547,1,2,14,0,0
2025-12-11 14:38:10.139536,1,2,23,0,0
2025-12-11 14:38:13.966645,1,2,16,0,0
2025-12-11 14:38:18.289441,1,2,13,0,0
2025-12-11 14:38:21.587184,1,2,23,0,0
2025-12-11 14:38:25.459003,1,2,50,0,0
2025-12-11 14:38:28.371720,1,2,17,0,0
2025-12-11 14:38:32.779204,1,2,21,0,0
2025-12-11 14:38:35.574451,1,2,7,0,0
2025-12-11 14:38:39.383326,1,2,6,0,0
2025-12-11 14:38:43.340060,1,2,17,0,0
2025-12-11 14:38:47.028834,1,2,6,0,0
2025-12-11 14:38:50.896430,1,2,67,0,0
2025-12-11 14:38:54.818534,1,2,23,0,0
2025-12-11 14:38:57.675961,1,2,8,0,0
2025-12-11 14:39:01.405144,1,2,7,0,0
2025-12-11 14:39:05.257127,1,2,12,0,0
2025-12-11 14:39:09.048098,1,1,23,0,0
2025-12-11 14:39:12.887025,1,2,2,0,0
2025-12-11 14:39:15.860245,1,2,2,0,0
2025-12-11 14:39:19.145984,1,2,9,0,0
2025-12-11 14:39:23.023525,1,2,3,0,0
2025-12-11 14:39:26.914593,1,2,2,0,0
2025-12-11 14:39:30.161438,1,2,8,0,0
2025-12-11 14:39:34.199262,1,2,11,0,0
2025-12-11 14:39:38.357714,1,2,43,0,0
2025-12-11 14:39:41.176601,1,2,21,0,0
2025-12-11 14:39:45.002713,1,2,11,0,0
2025-12-11 14:39:48.876538,1,2,7,0,0
2025-12-11 14:39:52.171439,1,2,32,0,0
2025-12-11 14:39:56.007051,1,2,19,0,0
2025-12-11 14:40:00.367894,1,2,18,0,0
2025-12-11 14:40:03.225203,1,2,8,0,0
2025-12-11 14:40:06.007484,1,2,17,0,0
2025-12-11 14:40:09.915649,1,2,11,0,0
2025-12-11 14:40:13.299634,1,2,10,0,0
2025-12-11 14:40:17.045794,1,2,18,0,0
2025-12-11 14:40:20.928670,1,2,10,0,0
2025-12-11 14:40:24.205619,1,2,37,0,0
2025-12-11 14:40:28.169765,1,2,8,0,0
2025-12-11 14:40:32.526428,1,2,1,0,0
2025-12-11 14:40:36.351064,1,2,7,0,0
2025-12-11 14:40:39.642374,1,2,1,0,0
2025-12-11 14:40:43.481750,1,2,8,0,0
2025-12-11 14:40:47.311276,1,2,4,0,0
2025-12-11 14:40:51.310622,1,2,14,0,0
2025-12-11 14:40:55.033025,1,2,10,0,0
2025-12-11 14:40:58.941497,1,2,9,0,0
2025-12-11 14:41:02.223680,1,2,5,0,0
2025-12-11 14:41:06.027609,1,2,4,0,0
2025-12-11 14:41:10.374662,1,2,12,0,0
2025-12-11 14:41:13.251463,1,2,7,0,0
2025-12-11 14:41:16.035129,1,2,8,0,0
2025-12-11 14:41:19.992680,1,2,43,0,0
2025-12-11 14:41:23.307139,1,2,6,0,0
2025-12-11 14:41:27.078392,1,2,25,0,0
2025-12-11 14:41:30.929835,1,2,26,0,0
2025-12-11 14:41:34.310874,1,2,4,0,0
2025-12-11 14:41:37.059197,1,2,12,0,0
2025-12-11 14:41:41.041566,1,2,2,0,0
2025-12-11 14:41:45.444558,1,2,5,0,0
2025-12-11 14:41:48.279732,1,2,5,0,0
2025-12-11 14:41:52.047691,1,2,5,0,0
2025-12-11 14:41:56.468562,1,1,1,0,0
2025-12-11 14:41:59.700062,1,2,7,0,0
2025-12-11 14:42:02.511831,1,2,9,0,0
2025-12-11 14:42:06.436370,1,2,3,0,0
2025-12-11 14:42:09.726097,1,2,4,0,0
2025-12-11 14:42:13.494723,1,2,2,0,0
2025-12-11 14:42:17.368242,1,1,10,0,0
2025-12-11 14:42:21.300836,1,2,10,0,0
2025-12-11 14:42:25.011568,1,2,2,0,0
2025-12-11 14:42:29.478797,1,2,11,0,0
2025-12-11 14:42:32.259092,1,2,10,0,0
2025-12-11 14:42:36.901586,1,2,2,0,0
2025-12-11 14:42:40.416230,1,2,8,0,0
2025-12-11 14:42:43.718391,1,2,6,0,0
2025-12-11 14:42:47.550232,1,2,3,0,0
2025-12-11 14:42:51.442773,1,2,2,0,0
2025-12-11 14:42:54.357604,1,2,21,0,0
2025-12-11 14:42:58.048227,1,2,2,0,0
2025-12-11 14:43:02.423587,1,2,2,0,0
