Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,PredHeart,PredBreath,AnomalyScore,IsAnomaly
2025-12-11 19:39:40.855263,1,2,33,16,88,89.785,16.962,0.0,0
2025-12-11 19:39:43.761221,1,2,9,16,88,87.345,16.561,0.00084,0
2025-12-11 19:39:46.520319,1,2,7,16,88,87.512,16.485,0.000265,0
2025-12-11 19:39:50.430012,1,2,26,16,88,89.188,16.739,0.000195,0
2025-12-11 19:39:53.339819,1,2,6,16,84,82.226,16.283,0.001271,0
2025-12-11 19:39:56.148124,1,2,2,16,80,79.036,16.149,0.000218,0
2025-12-11 19:39:59.959674,1,2,4,16,76,75.218,16.11,0.000303,0
2025-12-11 19:40:03.820681,1,2,100,16,73,84.502,17.576,0.000162,0
2025-12-11 19:40:07.330816,1,2,6,23,100,112.875,23.484,0.043689,0
2025-12-11 19:40:10.138569,1,2,34,24,100,112.335,23.348,0.000213,0
