Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-07 13:36:36.210742,1,2,68,18,102
2026-01-07 13:36:38.975632,1,2,36,17,96
2026-01-07 13:36:42.820736,1,2,5,15,91
2026-01-07 13:36:45.734033,1,2,2,15,88
2026-01-07 13:36:48.601162,1,2,4,15,85
2026-01-07 13:36:52.491893,1,2,3,19,83
2026-01-07 13:36:55.300905,1,2,8,20,81
2026-01-07 13:36:58.124195,1,2,2,20,81
2026-01-07 13:37:01.922338,1,2,4,21,81
2026-01-07 13:37:05.906783,1,2,6,21,81
2026-01-07 13:37:09.582447,1,2,2,20,81
2026-01-07 13:37:12.275636,1,2,2,19,84
2026-01-07 13:37:15.022248,1,2,1,19,86
2026-01-07 13:37:18.352797,1,1,1,18,86
2026-01-07 13:37:24.283734,1,1,22,19,86
2026-01-07 13:37:27.187375,1,2,3,19,86
2026-01-07 13:37:30.175320,1,2,1,19,86
2026-01-07 13:37:34.486742,1,1,18,19,85
2026-01-07 13:37:37.343328,1,2,10,19,80
2026-01-07 13:37:40.722492,1,2,13,19,77
2026-01-07 13:37:43.999391,1,2,13,19,74
2026-01-07 13:37:46.872446,1,2,15,19,73
2026-01-07 13:37:50.860620,1,2,3,19,74
2026-01-07 13:37:53.624274,1,1,2,19,77
2026-01-07 13:37:56.491930,1,2,2,19,79
2026-01-07 13:37:59.871124,1,2,11,19,79
2026-01-07 13:38:03.269862,1,2,2,19,78
2026-01-07 13:38:06.630225,1,2,9,19,75
2026-01-07 13:38:10.520851,1,2,6,19,72
2026-01-07 13:38:13.387341,1,1,2,18,74
2026-01-07 13:38:16.170224,1,2,1,18,77
2026-01-07 13:38:20.044074,1,1,6,18,80
2026-01-07 13:38:23.935222,1,1,12,18,86
2026-01-07 13:38:27.419757,1,2,21,18,88
2026-01-07 13:38:30.201845,1,2,11,18,88
2026-01-07 13:38:33.048513,1,2,12,18,88
2026-01-07 13:38:36.939733,1,2,1,17,88
2026-01-07 13:38:40.169369,1,2,6,17,88
2026-01-07 13:38:42.981367,1,2,1,16,88
2026-01-07 13:38:45.951126,1,1,5,16,88
2026-01-07 13:38:48.820600,1,2,7,16,88
2026-01-07 13:38:51.685126,1,2,8,16,88
2026-01-07 13:38:55.418093,1,2,4,16,88
2026-01-07 13:38:59.377745,1,2,6,16,88
2026-01-07 13:39:02.655780,1,1,2,16,88
2026-01-07 13:39:05.509199,1,1,1,16,88
2026-01-07 13:39:09.400844,1,1,1,16,89
2026-01-07 13:39:12.288825,1,2,2,16,89
2026-01-07 13:39:15.032522,1,2,3,17,89
2026-01-07 13:39:18.923366,1,2,8,17,89
2026-01-07 13:39:21.892243,1,2,8,17,89
2026-01-07 13:39:24.773965,1,2,11,17,89
2026-01-07 13:39:28.549998,1,2,7,17,89
2026-01-07 13:39:31.420050,1,2,11,17,89
2026-01-07 13:39:34.183458,1,2,19,17,89
2026-01-07 13:39:37.988812,1,2,17,17,88
2026-01-07 13:39:40.939159,1,2,12,17,85
2026-01-07 13:39:44.830490,1,2,4,17,87
2026-01-07 13:39:47.623059,1,2,5,17,88
2026-01-07 13:39:50.569733,1,2,6,17,88
2026-01-07 13:39:54.346513,1,2,10,17,88
2026-01-07 13:39:57.424665,1,2,9,17,88
2026-01-07 13:40:00.087916,1,2,7,17,86
2026-01-07 13:40:03.980344,1,2,1,17,83
2026-01-07 13:40:06.846835,1,2,1,17,83
2026-01-07 13:40:09.720412,1,1,1,17,83
2026-01-07 13:40:13.502725,1,1,2,17,84
2026-01-07 13:40:16.905306,1,1,2,17,84
2026-01-07 13:40:20.874788,1,1,1,17,85
2026-01-07 13:40:23.639833,1,1,1,17,86
2026-01-07 13:40:26.507562,1,1,1,17,86
2026-01-07 13:40:30.398219,1,1,1,17,86
2026-01-07 13:40:33.675352,1,2,1,17,84
2026-01-07 13:40:37.054687,1,1,2,17,78
2026-01-07 13:40:40.024019,1,2,1,17,72
2026-01-07 13:40:42.834253,1,2,1,17,69
2026-01-07 13:40:45.642076,1,2,3,17,66
2026-01-07 13:40:49.548070,1,2,2,16,63
2026-01-07 13:40:52.520518,1,2,9,16,63
2026-01-07 13:40:55.281581,1,2,52,17,63
2026-01-07 13:40:58.046638,1,2,13,17,63
2026-01-07 13:41:01.020597,1,2,15,18,63
2026-01-07 13:41:03.882939,1,2,6,19,63
2026-01-07 13:41:06.750083,1,2,5,19,64
2026-01-07 13:41:10.539374,1,2,36,19,67
2026-01-07 13:41:13.508964,1,2,5,18,70
2026-01-07 13:41:17.400091,1,2,7,19,71
2026-01-07 13:41:20.243867,1,2,20,19,71
2026-01-07 13:41:23.133304,1,2,9,20,71
2026-01-07 13:41:26.001664,1,2,6,20,71
2026-01-07 13:41:29.385285,1,2,11,20,71
2026-01-07 13:41:33.290468,1,2,14,20,71
2026-01-07 13:41:39.109380,1,2,11,18,71
2026-01-07 13:41:43.103021,1,2,7,18,72
2026-01-07 13:41:46.276630,1,2,6,17,72
2026-01-07 13:41:50.080974,1,2,21,17,71
2026-01-07 13:41:54.427345,1,2,17,17,72
2026-01-07 13:41:57.745088,1,2,5,17,72
2026-01-07 13:42:01.125718,1,2,8,17,72
2026-01-07 13:42:03.969853,1,2,3,17,72
2026-01-07 13:42:06.969791,1,2,18,17,72
2026-01-07 13:42:09.681693,1,2,10,17,72
2026-01-07 13:42:13.520027,1,1,1,16,72
2026-01-07 13:42:17.354737,1,1,2,16,72
2026-01-07 13:42:21.301207,1,1,1,16,72
2026-01-07 13:42:24.069927,1,1,1,16,72
2026-01-07 13:42:26.929817,1,1,2,17,72
2026-01-07 13:42:29.796576,1,2,26,17,73
2026-01-07 13:42:32.569543,1,2,31,17,74
2026-01-07 13:42:36.452261,1,2,10,16,74
2026-01-07 13:42:39.421751,1,2,8,16,74
2026-01-07 13:42:42.699227,1,2,11,16,74
2026-01-07 13:42:46.692524,1,2,26,18,74
2026-01-07 13:42:49.456873,1,2,10,20,74
2026-01-07 13:42:52.269925,1,2,5,21,74
2026-01-07 13:42:56.625200,1,2,8,22,74
2026-01-07 13:43:01.130580,1,2,11,22,74
2026-01-07 13:43:04.510100,1,2,16,21,74
2026-01-07 13:43:07.274814,1,2,5,20,71
2026-01-07 13:43:11.169609,1,2,3,19,68
2026-01-07 13:43:14.135663,1,2,4,19,65
2026-01-07 13:43:17.377401,1,2,1,20,63
2026-01-07 13:43:20.737172,1,2,8,21,63
2026-01-07 13:43:23.556421,1,2,4,22,64
2026-01-07 13:43:27.456112,1,2,3,22,64
2026-01-07 13:43:30.419027,1,2,4,21,64
2026-01-07 13:43:33.181860,1,2,1,19,67
2026-01-07 13:43:37.073043,1,2,1,19,70
2026-01-07 13:43:39.940424,1,1,1,18,73
2026-01-07 13:43:42.807506,1,1,7,18,75
2026-01-07 13:43:46.698606,1,1,1,17,75
2026-01-07 13:43:49.569119,1,2,2,17,75
2026-01-07 13:43:52.330697,1,2,2,18,76
2026-01-07 13:43:56.121803,1,2,2,17,77
2026-01-07 13:43:59.018445,1,2,6,18,79
2026-01-07 13:44:02.920633,1,2,2,18,79
2026-01-07 13:44:05.745536,1,1,4,18,80
2026-01-07 13:44:08.721264,1,2,6,17,82
2026-01-07 13:44:12.503747,1,2,4,17,82
2026-01-07 13:44:16.196034,1,2,2,17,82
2026-01-07 13:44:20.085331,1,2,1,16,82
2026-01-07 13:44:23.389997,1,2,2,16,76
2026-01-07 13:44:27.146560,1,2,3,16,70
2026-01-07 13:44:31.037794,1,1,7,16,67
2026-01-07 13:44:34.307290,1,2,5,16,66
2026-01-07 13:44:38.205637,1,2,8,16,66
2026-01-07 13:44:41.175227,1,2,3,16,66
2026-01-07 13:44:44.974751,1,2,3,16,66
2026-01-07 13:44:47.831383,1,2,3,16,66
2026-01-07 13:44:50.698295,1,2,8,16,66
2026-01-07 13:44:54.487239,1,2,4,16,66
2026-01-07 13:44:57.409015,1,2,5,16,66
2026-01-07 13:45:00.221687,1,2,3,16,66
2026-01-07 13:45:04.220879,1,1,1,16,69
2026-01-07 13:45:06.958852,1,1,2,16,72
