Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-15 14:30:56.061386,1,2,5,18,74
2026-01-15 14:31:00.475013,1,2,3,19,68
2026-01-15 14:31:03.741450,1,2,9,19,67
2026-01-15 14:31:07.536075,1,2,9,20,67
2026-01-15 14:31:11.421387,1,2,4,20,67
2026-01-15 14:31:15.311117,1,2,4,20,67
2026-01-15 14:31:19.000303,1,2,5,20,67
2026-01-15 14:31:21.968438,1,2,2,20,67
2026-01-15 14:31:24.700334,1,2,8,20,66
2026-01-15 14:31:28.557318,1,2,2,19,66
2026-01-15 14:31:31.597557,1,2,7,20,68
2026-01-15 14:31:34.360899,1,2,8,21,71
2026-01-15 14:31:38.161468,1,2,17,22,74
2026-01-15 14:31:41.017394,1,2,1,22,75
2026-01-15 14:31:45.009124,1,2,2,22,75
2026-01-15 14:31:47.774400,1,2,21,21,77
2026-01-15 14:31:50.575500,1,2,21,21,77
2026-01-15 14:31:54.534249,1,2,33,21,77
2026-01-15 14:31:57.742530,1,2,15,21,77
2026-01-15 14:32:00.586408,1,2,2,21,77
2026-01-15 14:32:03.546680,1,2,4,22,77
2026-01-15 14:32:06.322739,1,2,22,22,77
2026-01-15 14:32:09.284179,1,2,12,22,77
2026-01-15 14:32:13.171429,1,2,24,22,77
2026-01-15 14:32:16.302493,1,2,15,22,77
2026-01-15 14:32:19.210247,1,2,32,22,77
2026-01-15 14:32:22.085287,1,2,15,22,77
2026-01-15 14:32:24.947300,1,2,9,22,77
2026-01-15 14:32:27.814100,1,2,11,22,77
2026-01-15 14:32:31.603208,1,2,9,16,77
2026-01-15 14:32:35.491923,1,2,3,14,73
2026-01-15 14:32:40.001465,1,1,16,12,69
2026-01-15 14:32:43.284704,1,2,5,11,72
2026-01-15 14:32:46.039410,1,2,1,11,75
2026-01-15 14:32:49.011111,1,2,1,11,78
2026-01-15 14:32:51.784446,1,2,4,11,81
2026-01-15 14:32:55.566464,1,2,8,11,81
2026-01-15 14:32:58.534423,1,2,3,11,77
2026-01-15 14:33:03.037849,1,2,7,11,71
2026-01-15 14:33:05.744351,1,2,3,11,72
2026-01-15 14:33:08.670406,1,2,9,11,75
2026-01-15 14:33:12.561659,1,2,26,11,78
2026-01-15 14:33:15.861548,1,2,3,11,78
2026-01-15 14:33:18.809214,1,2,21,12,78
2026-01-15 14:33:22.706462,1,2,7,13,78
2026-01-15 14:33:25.567349,1,2,4,13,80
2026-01-15 14:33:28.335014,1,2,6,14,83
2026-01-15 14:33:32.221677,1,2,2,15,84
2026-01-15 14:33:36.013692,1,2,1,15,84
2026-01-15 14:33:41.543621,1,2,6,15,84
2026-01-15 14:33:45.024161,1,2,9,15,84
2026-01-15 14:33:47.763395,1,1,5,15,84
2026-01-15 14:33:50.673253,1,2,3,15,84
2026-01-15 14:33:54.545330,1,1,1,15,82
2026-01-15 14:33:57.925495,1,1,1,15,79
2026-01-15 14:34:01.212499,1,2,9,15,76
2026-01-15 14:34:04.171990,1,2,23,15,73
2026-01-15 14:34:07.036877,1,2,13,15,73
2026-01-15 14:34:09.801776,1,2,6,15,73
2026-01-15 14:34:13.692917,1,2,11,16,73
2026-01-15 14:34:17.484820,1,2,23,16,73
2026-01-15 14:34:23.037689,1,2,16,17,77
2026-01-15 14:34:27.004902,1,2,27,17,75
2026-01-15 14:34:29.873813,1,2,27,15,76
2026-01-15 14:34:32.739187,1,2,11,14,73
2026-01-15 14:34:36.535089,1,2,6,15,76
2026-01-15 14:34:39.907283,1,2,2,15,77
2026-01-15 14:34:43.796728,1,1,3,16,77
2026-01-15 14:34:46.525719,1,2,1,17,77
2026-01-15 14:34:49.335192,1,2,18,17,73
2026-01-15 14:34:54.284741,1,2,1,16,66
2026-01-15 14:34:57.622376,1,2,5,15,63
2026-01-15 14:35:00.489516,1,1,1,14,62
2026-01-15 14:35:03.295445,1,2,3,11,62
2026-01-15 14:35:06.185624,1,2,18,13,62
2026-01-15 14:35:09.093527,1,2,32,15,62
2026-01-15 14:35:11.973697,1,2,27,15,62
2026-01-15 14:35:15.763399,1,2,10,14,62
2026-01-15 14:35:18.717563,1,1,1,15,62
2026-01-15 14:35:23.736039,1,2,15,17,65
2026-01-15 14:35:26.496559,1,2,15,18,68
2026-01-15 14:35:29.372939,1,2,2,19,70
2026-01-15 14:35:33.265512,1,2,1,19,70
2026-01-15 14:35:36.125317,1,1,9,18,71
2026-01-15 14:35:38.992186,1,2,9,18,74
2026-01-15 14:35:42.348847,1,1,1,17,76
2026-01-15 14:35:45.202573,1,1,5,16,76
2026-01-15 14:35:48.207972,1,2,3,15,76
2026-01-15 14:35:50.972860,1,2,2,15,76
2026-01-15 14:35:54.761415,1,2,17,15,76
2026-01-15 14:35:58.758914,1,2,6,15,78
2026-01-15 14:36:02.455915,1,2,1,15,78
2026-01-15 14:36:06.161478,1,2,10,15,78
2026-01-15 14:36:09.507028,1,2,27,15,80
2026-01-15 14:36:13.296308,1,2,12,15,83
2026-01-15 14:36:17.698970,1,2,18,15,86
2026-01-15 14:36:20.986620,1,2,9,14,88
2026-01-15 14:36:24.764679,1,2,22,14,89
2026-01-15 14:36:27.838531,1,2,15,15,89
2026-01-15 14:36:30.498908,1,2,26,17,89
2026-01-15 14:36:34.334619,1,2,11,18,89
2026-01-15 14:36:37.257997,1,2,3,19,89
2026-01-15 14:36:40.744757,1,2,7,20,89
2026-01-15 14:36:44.362799,1,2,9,20,89
2026-01-15 14:36:47.906970,1,1,14,21,89
2026-01-15 14:36:51.186642,1,2,2,21,85
2026-01-15 14:36:54.050985,1,2,7,21,79
2026-01-15 14:36:57.836974,1,2,3,21,74
2026-01-15 14:37:00.810585,1,2,1,21,71
2026-01-15 14:37:03.574174,1,2,1,21,68
2026-01-15 14:37:07.465364,1,1,2,20,67
2026-01-15 14:37:10.844497,1,2,1,20,67
2026-01-15 14:37:13.548818,1,2,3,19,67
2026-01-15 14:37:16.586564,1,1,3,19,67
2026-01-15 14:37:19.866521,1,1,1,19,70
2026-01-15 14:37:23.746998,1,2,10,18,70
2026-01-15 14:37:27.740323,1,1,16,18,70
2026-01-15 14:37:30.498063,1,2,11,18,70
2026-01-15 14:37:34.498849,1,1,6,18,70
2026-01-15 14:37:37.468482,1,2,1,18,70
2026-01-15 14:37:40.642797,1,2,3,18,70
2026-01-15 14:37:44.536388,1,2,9,18,70
2026-01-15 14:37:48.322840,1,2,2,18,70
2026-01-15 14:37:51.705080,1,2,1,18,70
2026-01-15 14:37:54.668916,1,2,5,18,70
2026-01-15 14:37:59.485864,1,1,7,18,73
2026-01-15 14:38:02.761919,1,2,4,18,76
2026-01-15 14:38:05.637062,1,2,34,18,79
2026-01-15 14:38:09.553550,1,2,25,18,82
2026-01-15 14:38:12.992027,1,2,27,18,85
2026-01-15 14:38:15.823796,1,2,20,18,88
2026-01-15 14:38:18.838825,1,2,8,17,88
2026-01-15 14:38:21.553384,1,2,10,17,82
2026-01-15 14:38:25.392176,1,2,19,17,79
2026-01-15 14:38:29.794979,1,2,5,17,84
2026-01-15 14:38:32.673310,1,2,7,17,84
2026-01-15 14:38:35.426635,1,2,18,17,84
2026-01-15 14:38:39.317923,1,1,6,16,84
2026-01-15 14:38:42.390286,1,2,1,18,84
2026-01-15 14:38:45.053190,1,1,1,18,84
2026-01-15 14:38:48.840924,1,2,1,20,84
2026-01-15 14:38:51.810589,1,1,3,21,84
2026-01-15 14:38:54.575501,1,2,7,22,84
2026-01-15 14:38:58.466854,1,2,5,23,84
2026-01-15 14:39:01.336750,1,2,4,24,84
2026-01-15 14:39:04.712959,1,2,1,24,84
2026-01-15 14:39:08.911369,1,2,1,24,84
2026-01-15 14:39:12.290525,1,2,8,25,84
2026-01-15 14:39:15.567357,1,2,4,22,84
2026-01-15 14:39:19.458673,1,1,3,18,82
2026-01-15 14:39:24.373845,1,2,1,16,75
2026-01-15 14:39:27.240824,1,2,1,15,72
2026-01-15 14:39:30.222183,1,2,10,15,70
2026-01-15 14:39:32.913938,1,2,2,13,70
2026-01-15 14:39:35.755408,1,2,9,13,70
2026-01-15 14:39:38.812091,1,2,4,12,70
2026-01-15 14:39:41.587087,1,2,1,12,70
2026-01-15 14:39:45.335880,1,1,3,11,70
2026-01-15 14:39:48.336375,1,1,7,11,70
