Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-22 21:54:43.470600,1,2,17,17,72
2026-01-22 21:54:46.224221,1,2,6,17,72
2026-01-22 21:54:50.127129,1,2,2,17,72
2026-01-22 21:54:53.006386,1,1,1,16,72
2026-01-22 21:54:55.860932,1,2,4,17,72
2026-01-22 21:54:59.580163,1,1,5,16,72
2026-01-22 21:55:02.491463,1,2,2,16,72
2026-01-22 21:55:06.509821,1,1,4,15,72
2026-01-22 21:55:09.226886,1,2,8,15,72
2026-01-22 21:55:12.070624,1,2,9,15,72
2026-01-22 21:55:16.039469,1,2,9,16,72
2026-01-22 21:55:19.309974,1,2,6,16,72
2026-01-22 21:55:22.128588,1,2,6,16,72
2026-01-22 21:55:24.960849,1,2,3,16,72
2026-01-22 21:55:27.912083,1,2,18,16,70
2026-01-22 21:55:30.883491,1,2,4,16,67
2026-01-22 21:55:34.490973,1,1,3,16,64
2026-01-22 21:55:37.861321,1,2,3,16,64
2026-01-22 21:55:40.711979,1,2,4,16,63
2026-01-22 21:55:43.578796,1,2,3,16,62
2026-01-22 21:55:46.456599,1,2,9,16,62
2026-01-22 21:55:49.314001,1,2,6,16,62
2026-01-22 21:55:53.107100,1,2,5,17,62
2026-01-22 21:55:57.009411,1,2,3,18,63
2026-01-22 21:56:00.270457,1,2,3,18,66
2026-01-22 21:56:03.104058,1,1,5,18,69
2026-01-22 21:56:06.981094,1,2,2,18,72
2026-01-22 21:56:09.842006,1,1,1,18,73
2026-01-22 21:56:12.707549,1,2,1,18,73
2026-01-22 21:56:16.554576,1,2,3,18,73
2026-01-22 21:56:19.521314,1,2,1,18,73
2026-01-22 21:56:22.286252,1,1,3,18,73
2026-01-22 21:56:26.177196,1,1,4,18,72
2026-01-22 21:56:29.045528,1,2,5,18,71
2026-01-22 21:56:31.912016,1,1,2,18,71
2026-01-22 21:56:35.619982,1,1,3,18,71
2026-01-22 21:56:38.567539,1,2,1,18,71
2026-01-22 21:56:42.460960,1,2,4,18,71
2026-01-22 21:56:45.325966,1,2,5,18,71
2026-01-22 21:56:48.204522,1,2,2,18,69
2026-01-22 21:56:51.988728,1,1,1,18,66
2026-01-22 21:56:55.367796,1,2,1,18,66
2026-01-22 21:56:58.126010,1,2,3,18,66
2026-01-22 21:57:01.105315,1,2,4,18,66
2026-01-22 21:57:03.858989,1,2,46,17,66
2026-01-22 21:57:06.726165,1,2,52,17,66
2026-01-22 21:57:10.619239,1,2,56,23,100
2026-01-22 21:57:13.904763,1,2,25,24,100
2026-01-22 21:57:17.294943,1,2,71,24,100
2026-01-22 21:57:20.143603,1,2,35,24,100
2026-01-22 21:57:23.217167,1,2,22,24,100
2026-01-22 21:57:25.878713,1,2,34,23,100
2026-01-22 21:57:29.767096,1,2,43,24,100
2026-01-22 21:57:34.076574,1,2,16,24,100
2026-01-22 21:57:37.345927,1,2,12,24,100
2026-01-22 21:57:40.213711,1,2,5,24,100
2026-01-22 21:57:43.080748,1,2,2,23,100
2026-01-22 21:57:45.955267,1,1,1,24,100
2026-01-22 21:57:48.813663,1,2,1,24,100
2026-01-22 21:57:52.605332,1,2,2,23,100
2026-01-22 21:57:55.904793,1,2,3,20,100
2026-01-22 21:57:58.755204,1,2,4,19,100
2026-01-22 21:58:01.621880,1,2,2,18,100
2026-01-22 21:58:04.793927,1,2,1,18,98
2026-01-22 21:58:07.355246,1,2,8,18,92
2026-01-22 21:58:11.605345,1,2,4,17,86
2026-01-22 21:58:15.029561,1,2,1,19,80
2026-01-22 21:58:18.509504,1,2,3,18,70
2026-01-22 21:58:21.405465,1,1,1,17,68
2026-01-22 21:58:24.244848,1,2,1,16,68
2026-01-22 21:58:28.034248,1,2,1,16,65
2026-01-22 21:58:31.529676,1,2,7,15,63
2026-01-22 21:58:35.159964,1,1,4,14,63
2026-01-22 21:58:38.305761,1,2,2,14,63
2026-01-22 21:58:40.937050,1,2,4,14,63
2026-01-22 21:58:44.726345,1,1,1,14,64
2026-01-22 21:58:47.705585,1,2,2,14,64
2026-01-22 21:58:50.970678,1,2,3,15,64
2026-01-22 21:58:54.761116,1,2,2,16,64
2026-01-22 21:58:59.164258,1,2,6,17,64
2026-01-22 21:59:02.055805,1,2,3,18,64
2026-01-22 21:59:04.954964,1,1,2,18,64
2026-01-22 21:59:08.717750,1,2,47,17,64
2026-01-22 21:59:11.657325,1,2,11,23,100
2026-01-22 21:59:15.037533,1,2,34,24,100
2026-01-22 21:59:18.305696,1,2,44,23,100
2026-01-22 21:59:21.178357,1,2,23,24,100
2026-01-22 21:59:25.171664,1,2,29,24,100
2026-01-22 21:59:27.936300,1,2,67,23,100
2026-01-22 21:59:30.805515,1,2,19,23,100
2026-01-22 21:59:34.595070,1,2,72,24,100
2026-01-22 21:59:37.561735,1,2,42,23,100
2026-01-22 21:59:40.327477,1,2,3,23,100
2026-01-22 21:59:44.217433,1,1,1,23,100
2026-01-22 21:59:47.205905,1,2,3,23,100
2026-01-22 21:59:49.891661,1,1,1,23,100
2026-01-22 21:59:53.741628,1,2,5,22,100
2026-01-22 21:59:56.616192,1,2,3,20,100
2026-01-22 22:00:00.605789,1,2,4,19,100
2026-01-22 22:00:03.367096,1,2,2,18,100
2026-01-22 22:00:06.234707,1,2,3,17,99
2026-01-22 22:00:10.124424,1,1,1,17,96
2026-01-22 22:00:13.506098,1,2,2,17,93
2026-01-22 22:00:16.269626,1,2,2,17,93
2026-01-22 22:00:19.241399,1,2,7,17,91
2026-01-22 22:00:22.005365,1,2,6,17,88
2026-01-22 22:00:24.768440,1,2,5,17,85
2026-01-22 22:00:28.610809,1,2,4,17,84
2026-01-22 22:00:31.937147,1,2,8,15,85
2026-01-22 22:00:34.805581,1,2,1,15,85
2026-01-22 22:00:37.641625,1,1,1,15,85
2026-01-22 22:00:40.640788,1,1,4,15,85
2026-01-22 22:00:43.507511,1,2,3,15,85
2026-01-22 22:00:47.706733,1,2,2,16,84
2026-01-22 22:00:51.055207,1,2,3,16,78
2026-01-22 22:00:54.567216,1,2,6,17,70
2026-01-22 22:00:57.433404,1,2,3,17,67
2026-01-22 22:01:00.308172,1,2,4,17,64
2026-01-22 22:01:04.205040,1,2,13,18,64
2026-01-22 22:01:07.485568,1,2,5,18,64
2026-01-22 22:01:11.257030,1,1,49,18,64
2026-01-22 22:01:14.105924,1,2,54,18,67
2026-01-22 22:01:16.992370,1,2,34,24,100
2026-01-22 22:01:20.765789,1,2,36,23,100
2026-01-22 22:01:23.755245,1,2,11,23,100
2026-01-22 22:01:27.129735,1,2,69,23,100
2026-01-22 22:01:30.815699,1,2,27,23,100
2026-01-22 22:01:34.409133,1,2,54,24,100
2026-01-22 22:01:37.165518,1,2,11,23,100
2026-01-22 22:01:39.970487,1,2,2,24,100
2026-01-22 22:01:42.905380,1,2,3,24,100
2026-01-22 22:01:46.688504,1,2,5,23,100
2026-01-22 22:01:49.964985,1,2,1,23,100
2026-01-22 22:01:53.864185,1,1,1,22,100
2026-01-22 22:01:57.131415,1,1,1,21,100
2026-01-22 22:02:00.007426,1,1,1,20,100
2026-01-22 22:02:02.867217,1,2,9,19,100
2026-01-22 22:02:05.837613,1,2,1,19,99
2026-01-22 22:02:09.113338,1,1,1,21,93
2026-01-22 22:02:13.620058,1,2,2,20,90
2026-01-22 22:02:16.820220,1,2,5,19,90
2026-01-22 22:02:20.787916,1,1,1,17,84
2026-01-22 22:02:24.679742,1,1,1,15,74
2026-01-22 22:02:27.412591,1,1,2,13,72
2026-01-22 22:02:30.319591,1,2,4,11,75
2026-01-22 22:02:33.689595,1,1,2,14,78
2026-01-22 22:02:36.662459,1,2,2,16,79
2026-01-22 22:02:39.426710,1,1,1,18,79
2026-01-22 22:02:42.291875,1,1,1,16,79
2026-01-22 22:02:46.284829,1,2,1,15,79
2026-01-22 22:02:49.428825,1,2,1,14,74
2026-01-22 22:02:52.788180,1,2,4,14,74
2026-01-22 22:02:55.707179,1,1,2,17,74
2026-01-22 22:02:58.675698,1,2,2,16,74
2026-01-22 22:03:01.457342,1,2,1,16,77
2026-01-22 22:03:05.229198,1,2,14,14,80
2026-01-22 22:03:09.120169,1,2,25,13,82
