Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-25 11:44:16.770455,1,2,4,22,77
2026-01-25 11:44:19.631926,1,2,5,21,77
2026-01-25 11:44:22.420108,1,2,16,21,77
2026-01-25 11:44:26.273153,1,2,5,21,77
2026-01-25 11:44:29.585441,1,2,4,21,77
2026-01-25 11:44:33.393260,1,2,9,20,77
2026-01-25 11:44:36.326500,1,2,6,19,77
2026-01-25 11:44:39.120172,1,2,1,18,77
2026-01-25 11:44:42.984145,1,2,3,17,77
2026-01-25 11:44:45.954087,1,2,7,16,77
2026-01-25 11:44:49.325740,1,2,8,16,77
2026-01-25 11:44:53.022489,1,2,2,16,77
2026-01-25 11:44:55.906839,1,2,3,16,77
2026-01-25 11:44:59.372459,1,2,2,15,77
2026-01-25 11:45:02.229232,1,2,6,15,77
2026-01-25 11:45:05.094817,1,2,7,15,77
2026-01-25 11:45:08.890638,1,2,5,15,77
2026-01-25 11:45:12.269806,1,2,3,15,71
2026-01-25 11:45:16.053385,1,2,10,15,68
2026-01-25 11:45:18.874923,1,1,1,16,65
2026-01-25 11:45:22.811406,1,2,9,16,62
2026-01-25 11:45:25.690296,1,2,4,17,62
2026-01-25 11:45:28.652277,1,2,7,18,62
2026-01-25 11:45:32.334291,1,2,4,18,65
2026-01-25 11:45:35.223992,1,2,12,18,68
2026-01-25 11:45:37.991471,1,2,3,18,71
2026-01-25 11:45:41.962128,1,2,8,18,74
2026-01-25 11:45:44.824653,1,2,5,18,77
2026-01-25 11:45:47.697196,1,2,8,18,80
2026-01-25 11:45:51.505229,1,1,3,17,83
2026-01-25 11:45:55.371653,1,2,11,17,86
2026-01-25 11:45:58.860893,1,2,4,16,86
2026-01-25 11:46:01.620137,1,2,5,16,86
2026-01-25 11:46:04.486446,1,2,5,16,82
2026-01-25 11:46:08.377604,1,2,6,16,78
2026-01-25 11:46:11.659143,1,2,3,16,75
2026-01-25 11:46:15.956753,1,2,6,16,72
2026-01-25 11:46:20.297520,1,2,5,16,67
2026-01-25 11:46:23.640119,1,2,8,16,64
2026-01-25 11:46:27.530545,1,2,5,15,63
2026-01-25 11:46:31.442861,1,2,3,15,63
2026-01-25 11:46:35.121105,1,2,7,15,63
2026-01-25 11:46:38.971749,1,2,7,15,63
2026-01-25 11:46:41.971171,1,2,11,15,63
2026-01-25 11:46:44.730701,1,2,4,15,63
2026-01-25 11:46:48.520073,1,2,2,16,63
2026-01-25 11:46:51.487538,1,2,11,16,63
2026-01-25 11:46:54.260354,1,2,3,16,63
2026-01-25 11:46:58.001523,1,2,4,16,62
2026-01-25 11:47:01.011262,1,2,2,16,62
2026-01-25 11:47:05.370312,1,2,9,16,62
2026-01-25 11:47:08.281952,1,2,1,16,62
2026-01-25 11:47:11.045587,1,2,8,16,63
2026-01-25 11:47:14.906302,1,2,2,16,66
2026-01-25 11:47:18.220639,1,2,1,16,68
2026-01-25 11:47:22.023344,1,2,10,16,66
2026-01-25 11:47:24.973481,1,2,2,16,63
2026-01-25 11:47:28.970420,1,2,3,15,62
2026-01-25 11:47:31.738658,1,2,7,14,62
2026-01-25 11:47:34.520456,1,1,1,13,65
2026-01-25 11:47:38.376151,1,1,1,13,68
2026-01-25 11:47:42.390883,1,1,1,12,68
2026-01-25 11:47:45.247846,1,2,3,12,68
2026-01-25 11:47:49.045681,1,1,7,12,68
2026-01-25 11:47:52.020600,1,2,3,12,66
2026-01-25 11:47:55.389961,1,2,2,12,63
2026-01-25 11:47:59.079956,1,2,8,12,63
2026-01-25 11:48:02.970811,1,1,1,12,63
2026-01-25 11:48:05.936793,1,2,12,11,63
2026-01-25 11:48:08.698613,1,2,2,11,63
2026-01-25 11:48:12.591817,1,1,1,11,63
2026-01-25 11:48:15.425992,1,2,4,11,63
2026-01-25 11:48:18.260343,1,2,5,11,63
2026-01-25 11:48:22.632811,1,1,1,11,63
2026-01-25 11:48:25.389605,1,2,7,11,63
2026-01-25 11:48:29.279434,1,1,2,11,63
2026-01-25 11:48:32.559608,1,2,6,11,63
2026-01-25 11:48:36.829740,1,2,1,11,63
2026-01-25 11:48:40.688041,1,2,6,12,63
2026-01-25 11:48:44.028342,1,1,1,14,66
2026-01-25 11:48:46.808505,1,2,2,16,69
2026-01-25 11:48:49.760068,1,2,1,18,72
2026-01-25 11:48:53.651582,1,1,14,16,75
2026-01-25 11:48:56.386770,1,2,6,15,72
2026-01-25 11:48:59.387086,1,2,4,15,69
2026-01-25 11:49:02.253531,1,2,3,14,69
2026-01-25 11:49:05.522399,1,2,36,14,69
2026-01-25 11:49:09.421984,1,2,55,14,69
2026-01-25 11:49:12.497169,1,2,75,24,100
2026-01-25 11:49:15.683508,1,2,32,23,100
2026-01-25 11:49:19.455776,1,2,10,23,100
2026-01-25 11:49:23.272476,1,2,77,23,100
2026-01-25 11:49:26.321487,1,2,100,23,100
2026-01-25 11:49:29.594641,1,2,36,23,100
2026-01-25 11:49:33.489116,1,2,13,23,100
2026-01-25 11:49:36.475925,1,2,12,23,100
2026-01-25 11:49:39.707592,1,2,16,23,100
2026-01-25 11:49:43.524884,1,2,6,24,100
2026-01-25 11:49:47.322490,1,1,5,23,100
2026-01-25 11:49:50.278414,1,1,6,24,100
2026-01-25 11:49:53.145999,1,2,3,24,100
2026-01-25 11:49:56.935272,1,2,17,21,100
2026-01-25 11:49:59.772505,1,2,1,21,100
2026-01-25 11:50:02.673584,1,2,5,20,100
2026-01-25 11:50:06.559516,1,1,1,20,100
2026-01-25 11:50:09.331557,1,2,3,20,97
2026-01-25 11:50:13.422681,1,1,7,20,91
2026-01-25 11:50:16.083426,1,1,1,17,91
2026-01-25 11:50:18.951253,1,2,5,15,91
2026-01-25 11:50:22.842866,1,2,5,14,91
2026-01-25 11:50:26.697983,1,2,3,14,91
2026-01-25 11:50:30.112104,1,2,6,12,88
2026-01-25 11:50:33.082856,1,1,4,14,85
2026-01-25 11:50:35.851327,1,1,1,15,82
2026-01-25 11:50:38.612283,1,2,4,15,80
2026-01-25 11:50:43.022744,1,2,5,15,80
2026-01-25 11:50:46.395784,1,1,1,15,80
2026-01-25 11:50:49.261548,1,2,4,15,80
2026-01-25 11:50:52.132970,1,2,3,15,80
2026-01-25 11:50:54.896054,1,2,2,15,80
2026-01-25 11:50:58.887079,1,2,5,15,80
2026-01-25 11:51:01.755761,1,2,2,15,80
2026-01-25 11:51:04.522589,1,2,4,15,80
2026-01-25 11:51:08.423812,1,2,77,15,80
2026-01-25 11:51:11.278388,1,2,41,24,100
2026-01-25 11:51:14.250020,1,2,77,24,100
2026-01-25 11:51:17.935509,1,2,70,23,100
2026-01-25 11:51:21.892133,1,2,23,24,100
2026-01-25 11:51:25.103178,1,2,17,24,100
2026-01-25 11:51:27.885342,1,2,66,23,100
2026-01-25 11:51:31.795541,1,2,59,24,100
2026-01-25 11:51:34.727002,1,2,54,23,100
2026-01-25 11:51:37.471156,1,2,9,24,100
2026-01-25 11:51:41.386539,1,2,8,24,100
2026-01-25 11:51:45.377098,1,2,3,24,100
2026-01-25 11:51:49.273155,1,2,4,24,100
2026-01-25 11:51:52.136074,1,1,1,23,100
2026-01-25 11:51:55.006272,1,2,2,22,100
2026-01-25 11:51:58.792059,1,1,1,20,100
2026-01-25 11:52:02.173019,1,2,1,19,100
2026-01-25 11:52:05.572548,1,2,7,16,100
2026-01-25 11:52:08.423125,1,1,3,17,96
2026-01-25 11:52:11.283140,1,2,1,17,90
2026-01-25 11:52:14.150266,1,2,5,17,84
2026-01-25 11:52:17.876693,1,2,3,16,81
2026-01-25 11:52:21.832178,1,2,3,15,78
2026-01-25 11:52:25.106187,1,2,5,15,74
2026-01-25 11:52:27.975694,1,2,5,15,72
2026-01-25 11:52:31.872903,1,2,2,15,72
2026-01-25 11:52:34.733626,1,2,2,15,71
2026-01-25 11:52:37.500053,1,2,4,15,71
2026-01-25 11:52:41.391494,1,2,4,15,72
2026-01-25 11:52:44.673426,1,2,8,15,75
2026-01-25 11:52:47.468306,1,2,6,15,76
2026-01-25 11:52:50.387620,1,2,7,15,75
2026-01-25 11:52:53.373351,1,2,1,15,72
2026-01-25 11:52:56.090752,1,2,5,15,73
2026-01-25 11:52:59.922365,1,2,15,15,76
2026-01-25 11:53:03.822811,1,2,7,15,79
2026-01-25 11:53:07.772569,1,2,64,15,75
2026-01-25 11:53:11.288466,1,2,17,24,100
2026-01-25 11:53:14.156220,1,2,26,24,100
2026-01-25 11:53:17.954224,1,2,40,24,100
2026-01-25 11:53:21.765296,1,2,14,23,100
2026-01-25 11:53:25.636022,1,2,20,23,100
2026-01-25 11:53:28.438804,1,2,51,24,100
2026-01-25 11:53:32.093078,1,2,49,24,100
2026-01-25 11:53:34.757436,1,2,30,23,100
2026-01-25 11:53:37.578011,1,2,1,23,100
2026-01-25 11:53:41.412514,1,2,5,23,100
2026-01-25 11:53:44.792461,1,2,2,23,100
2026-01-25 11:53:48.580576,1,2,2,24,100
2026-01-25 11:53:51.448095,1,1,4,23,100
2026-01-25 11:53:55.342334,1,1,2,23,100
2026-01-25 11:53:58.213567,1,2,1,23,100
2026-01-25 11:54:01.079829,1,2,1,23,100
2026-01-25 11:54:04.875383,1,2,7,23,97
2026-01-25 11:54:08.160020,1,2,4,23,92
2026-01-25 11:54:11.018409,1,1,1,23,89
2026-01-25 11:54:13.978029,1,2,8,23,85
2026-01-25 11:54:16.847463,1,2,3,22,79
2026-01-25 11:54:19.611248,1,2,5,20,74
2026-01-25 11:54:23.506745,1,2,1,18,71
2026-01-25 11:54:26.786122,1,2,1,17,68
2026-01-25 11:54:29.646770,1,1,4,16,66
2026-01-25 11:54:32.522285,1,2,1,16,65
2026-01-25 11:54:35.903220,1,2,4,15,65
2026-01-25 11:54:38.659897,1,2,12,15,65
2026-01-25 11:54:41.635396,1,2,2,15,65
2026-01-25 11:54:44.409933,1,2,5,15,65
2026-01-25 11:54:47.770635,1,2,16,15,65
2026-01-25 11:54:51.555108,1,2,3,15,65
2026-01-25 11:54:54.646880,1,1,4,15,65
2026-01-25 11:54:57.937271,1,2,1,15,65
2026-01-25 11:55:01.699476,1,2,1,15,66
2026-01-25 11:55:05.497964,1,2,16,16,67
2026-01-25 11:55:09.399282,1,2,12,23,100
2026-01-25 11:55:14.379323,1,2,94,24,100
