Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-26 21:17:15.505678,1,2,12,17,72
2026-01-26 21:17:19.296545,1,2,2,17,74
2026-01-26 21:17:25.232660,1,2,1,17,72
2026-01-26 21:17:28.714530,1,2,16,17,71
2026-01-26 21:17:33.425839,1,2,17,17,77
2026-01-26 21:17:36.906571,1,2,1,17,80
2026-01-26 21:17:39.654433,1,2,2,17,83
2026-01-26 21:17:42.477424,1,2,4,17,86
2026-01-26 21:17:46.032549,1,2,13,17,86
2026-01-26 21:17:48.785681,1,2,15,17,86
2026-01-26 21:17:51.651812,1,2,16,17,86
2026-01-26 21:17:54.519054,1,2,16,17,86
2026-01-26 21:17:58.513261,1,2,2,17,86
2026-01-26 21:18:01.278621,1,2,7,17,86
2026-01-26 21:18:04.656899,1,2,13,17,82
2026-01-26 21:18:07.627218,1,2,12,17,78
2026-01-26 21:18:10.311606,1,2,11,17,75
2026-01-26 21:18:13.267950,1,2,13,17,72
2026-01-26 21:18:16.125243,1,1,1,17,73
2026-01-26 21:18:19.914247,1,2,2,17,76
2026-01-26 21:18:22.884772,1,2,1,17,79
2026-01-26 21:18:27.309000,1,2,2,17,73
2026-01-26 21:18:30.052888,1,1,10,17,71
2026-01-26 21:18:32.919070,1,1,1,17,74
2026-01-26 21:18:36.809918,1,2,2,17,77
2026-01-26 21:18:40.599804,1,1,6,17,80
2026-01-26 21:18:44.497101,1,2,1,17,81
2026-01-26 21:18:47.869501,1,2,9,17,83
2026-01-26 21:18:50.635034,1,2,11,17,83
2026-01-26 21:18:53.500976,1,2,11,17,83
2026-01-26 21:18:56.425588,1,1,7,17,83
2026-01-26 21:18:59.746986,1,2,8,17,84
2026-01-26 21:19:03.146768,1,2,10,17,84
2026-01-26 21:19:07.427862,1,2,11,17,84
2026-01-26 21:19:10.401992,1,2,1,17,84
2026-01-26 21:19:13.248856,1,2,2,17,84
2026-01-26 21:19:16.131477,1,2,6,17,84
2026-01-26 21:19:20.433463,1,2,11,17,84
2026-01-26 21:19:23.913720,1,2,6,17,84
2026-01-26 21:19:27.297531,1,1,1,17,84
2026-01-26 21:19:30.057520,1,2,1,17,86
2026-01-26 21:19:33.046746,1,1,1,17,88
2026-01-26 21:19:36.816419,1,1,2,17,88
2026-01-26 21:19:40.076372,1,2,6,17,88
2026-01-26 21:19:43.988509,1,1,13,17,86
2026-01-26 21:19:46.851740,1,1,1,17,83
2026-01-26 21:19:49.616051,1,2,3,17,80
2026-01-26 21:19:54.435319,1,2,4,17,80
2026-01-26 21:19:57.828117,1,2,11,17,80
2026-01-26 21:20:00.778856,1,2,9,17,80
