Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,FallState,DwellState,PredHeart,PredBreath,AnomalyScore,IsAnomaly
2025-12-11 13:43:34.662767,1,1,1,15,69,0,0,65.899,14.427,0.000000,0
2025-12-11 13:43:47.454450,1,2,3,18,65,0,0,67.335,17.343,0.010237,0
2025-12-11 13:44:00.364913,1,2,2,19,62,0,0,63.663,17.751,0.003080,0
2025-12-11 13:44:14.128683,1,1,1,21,62,0,0,64.786,19.416,0.008530,0
2025-12-11 13:44:27.041578,1,2,1,22,65,0,0,67.048,20.775,0.005342,0
2025-12-11 13:44:42.553190,1,2,14,20,80,0,0,83.830,19.151,0.005681,0
2025-12-11 13:44:55.354103,1,2,1,17,78,0,0,73.340,16.265,0.004755,0
2025-12-11 13:45:08.256116,1,2,9,16,78,0,0,77.774,15.949,0.000729,0
2025-12-11 13:45:21.056256,1,2,4,14,78,0,0,75.511,13.739,0.003040,0
2025-12-11 13:45:34.575190,1,1,1,14,71,0,0,68.810,13.547,0.000685,0
2025-12-11 13:45:47.885784,1,2,3,14,71,0,0,71.706,14.053,0.000313,0
2025-12-11 13:46:01.150117,1,2,34,24,112,0,0,121.271,23.706,0.129482,1
2025-12-11 13:46:15.124811,1,2,37,24,126,0,0,120.825,22.228,0.000762,0
2025-12-11 13:46:29.563190,1,2,23,23,117,0,0,110.626,21.397,0.000931,0
2025-12-11 13:46:42.877182,1,2,32,24,107,0,0,105.015,22.408,0.005826,0
2025-12-11 13:46:55.674820,1,2,60,24,122,0,0,123.847,23.106,0.010971,0
2025-12-11 13:47:10.113666,1,2,10,24,127,0,0,123.451,22.421,0.000947,0
2025-12-11 13:47:23.017221,1,2,4,23,117,0,0,112.361,21.168,0.001558,0
2025-12-11 13:47:35.816094,1,2,7,25,105,0,0,103.161,22.975,0.013425,0
2025-12-11 13:47:48.719138,1,2,1,23,103,0,0,101.490,20.877,0.000001,0
2025-12-11 13:48:02.645402,1,2,100,23,113,0,0,112.955,22.452,0.007712,0
2025-12-11 13:48:15.445271,1,2,75,24,109,0,0,109.779,23.426,0.002401,0
2025-12-11 13:48:29.371569,1,2,15,23,124,0,0,127.070,22.328,0.006415,0
2025-12-11 13:48:43.708192,1,2,1,23,109,0,0,107.989,20.740,0.010483,0
2025-12-11 13:48:56.610071,1,2,100,24,106,0,0,106.445,23.272,0.008625,0
2025-12-11 13:49:09.410854,1,2,14,23,118,0,0,121.769,21.855,0.004198,0
2025-12-11 13:49:23.338342,1,2,41,24,127,0,0,125.709,22.602,0.004528,0
2025-12-11 13:49:36.345559,1,2,89,23,125,0,0,121.061,22.372,0.000142,0
2025-12-11 13:49:49.244019,1,2,34,24,127,0,0,129.270,23.052,0.003213,0
2025-12-11 13:50:02.658468,1,2,2,24,118,0,0,120.530,21.670,0.004656,0
2025-12-11 13:50:16.073397,1,1,4,23,127,0,0,128.201,21.639,0.002713,0
2025-12-11 13:50:28.873623,1,1,1,19,103,0,0,97.920,16.886,0.025260,0
2025-12-11 13:50:42.700157,1,2,1,22,99,0,0,98.256,20.630,0.020960,0
2025-12-11 13:50:56.267270,1,2,1,22,83,0,0,80.885,19.571,0.008717,0
2025-12-11 13:51:09.117264,1,1,1,16,72,0,0,69.429,14.487,0.012649,0
2025-12-11 13:51:21.967125,1,2,28,16,72,0,0,72.213,15.829,0.002036,0
2025-12-11 13:51:34.818932,1,2,9,11,72,0,0,68.557,10.783,0.018654,0
2025-12-11 13:51:47.932486,1,2,6,11,72,0,0,69.115,10.964,0.000405,0
2025-12-11 13:52:02.264221,1,2,2,11,71,0,0,68.755,10.876,0.000111,0
2025-12-11 13:52:15.169419,1,2,26,11,71,0,0,72.218,11.365,0.000169,0
2025-12-11 13:52:28.173981,1,2,54,23,115,0,0,123.875,23.551,0.165044,1
2025-12-11 13:52:40.868020,1,2,100,23,117,0,0,115.283,21.972,0.001708,0
