Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,PredHeart,PredBreath,AnomalyScore,IsAnomaly
2025-12-11 14:56:35.917789,1,2,3,19,76,75.726,18.283,0.000000,0
2025-12-11 14:56:39.193061,1,2,9,19,76,76.641,18.107,0.000414,0
2025-12-11 14:56:42.066808,1,2,2,17,74,72.318,16.145,0.001197,0
2025-12-11 14:56:44.910677,1,1,1,18,71,70.320,16.955,0.002806,0
2025-12-11 14:56:48.296030,1,2,25,18,68,72.627,17.733,0.001041,0
2025-12-11 14:56:51.156100,1,2,24,23,106,112.670,22.647,0.056718,0
2025-12-11 14:56:53.977476,1,2,14,23,109,101.823,21.282,0.000517,0
2025-12-11 14:56:56.863062,1,2,49,24,112,113.996,23.263,0.009119,0
2025-12-11 14:57:00.162106,1,2,35,23,115,112.544,21.703,0.000086,0
2025-12-11 14:57:04.051165,1,2,76,23,118,117.494,22.440,0.002270,0
2025-12-11 14:57:06.931420,1,2,71,23,121,120.225,22.631,0.000632,0
2025-12-11 14:57:10.336700,1,2,64,24,108,109.282,22.922,0.006133,0
2025-12-11 14:57:14.122688,1,2,47,24,114,117.733,23.224,0.001620,0
2025-12-11 14:57:17.911922,1,2,100,23,117,115.078,22.460,0.000057,0
2025-12-11 14:57:20.877727,1,2,9,23,120,124.202,21.970,0.000985,0
2025-12-11 14:57:24.219943,1,2,37,24,123,123.128,22.505,0.003341,0
2025-12-11 14:57:28.090857,1,2,100,23,126,121.902,22.494,0.000452,0
2025-12-11 14:57:30.961268,1,2,87,24,108,109.931,22.861,0.007805,0
2025-12-11 14:57:34.315414,1,2,7,23,111,117.966,21.573,0.000051,0
2025-12-11 14:57:38.082176,1,2,4,23,117,119.425,21.077,0.001658,0
2025-12-11 14:57:41.610940,1,2,2,24,120,121.080,21.970,0.006846,0
2025-12-11 14:57:44.999386,1,1,1,23,123,122.428,21.109,0.000963,0
2025-12-11 14:57:47.879315,1,2,8,22,123,118.864,20.145,0.000646,0
2025-12-11 14:57:50.687416,1,2,2,22,117,112.893,19.965,0.002859,0
2025-12-11 14:57:54.473113,1,2,10,20,111,106.303,18.174,0.000112,0
2025-12-11 14:57:58.334682,1,2,2,20,105,100.904,18.278,0.002720,0
2025-12-11 14:58:02.097906,1,1,1,20,93,89.280,18.319,0.004308,0
2025-12-11 14:58:06.004945,1,1,1,20,87,84.784,18.862,0.002421,0
2025-12-11 14:58:09.490413,1,1,1,19,81,78.659,18.071,0.000459,0
2025-12-11 14:58:12.231815,1,1,1,17,75,73.195,16.489,0.001333,0
2025-12-11 14:58:16.080489,1,1,1,15,76,75.409,14.977,0.002017,0
2025-12-11 14:58:18.981014,1,1,3,13,79,78.241,13.417,0.003526,0
2025-12-11 14:58:21.936648,1,1,1,12,79,77.060,12.721,0.001625,0
2025-12-11 14:58:25.275621,1,1,1,11,75,73.131,11.872,0.002502,0
2025-12-11 14:58:28.111155,1,1,1,14,75,74.184,14.260,0.003730,0
2025-12-11 14:58:31.011146,1,1,2,16,72,70.550,15.364,0.002570,0
2025-12-11 14:58:34.362193,1,1,1,17,72,71.061,15.843,0.002206,0
2025-12-11 14:58:38.132301,1,1,1,18,72,70.746,16.535,0.003749,0
2025-12-11 14:58:42.119112,1,1,1,19,71,69.725,17.385,0.004865,0
2025-12-11 14:58:45.266683,1,2,1,15,68,67.464,14.420,0.004643,0
2025-12-11 14:58:48.115236,1,1,1,15,65,65.376,14.380,0.000457,0
2025-12-11 14:58:51.160755,1,1,1,16,64,64.634,15.334,0.002158,0
2025-12-11 14:58:53.906922,1,1,1,18,64,64.710,16.718,0.005699,0
2025-12-11 14:58:56.709261,1,1,1,18,64,64.538,16.510,0.001330,0
2025-12-11 14:59:01.759099,1,1,1,19,64,64.851,17.370,0.004969,0
2025-12-11 14:59:05.671744,1,1,1,19,64,64.622,17.385,0.002149,0
2025-12-11 14:59:08.583677,1,1,1,19,64,64.785,17.418,0.002100,0
2025-12-11 14:59:11.388447,1,1,3,19,64,65.356,17.522,0.002022,0
2025-12-11 14:59:15.310329,1,2,1,19,64,65.348,17.976,0.001804,0
2025-12-11 14:59:18.560949,1,1,1,20,66,66.852,18.202,0.003292,0
2025-12-11 14:59:22.366697,1,1,1,19,69,68.849,17.418,0.000653,0
2025-12-11 14:59:25.392196,1,2,5,17,72,72.918,16.426,0.000447,0
2025-12-11 14:59:29.796044,1,2,3,18,73,72.735,17.433,0.001982,0
