Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-07 14:18:43.167158,1,1,1,0,0
2026-01-07 14:18:46.040465,1,1,1,0,0
2026-01-07 14:18:49.882398,1,2,9,0,0
2026-01-07 14:18:52.748405,1,2,86,0,0
2026-01-07 14:18:56.537795,1,2,4,0,0
2026-01-07 14:19:00.432816,1,2,100,23,114
2026-01-07 14:19:03.706981,1,2,69,23,106
2026-01-07 14:19:07.492773,1,2,100,24,109
2026-01-07 14:19:11.895561,1,2,4,23,115
2026-01-07 14:19:14.765081,1,2,21,23,118
2026-01-07 14:19:17.526442,1,2,86,23,108
2026-01-07 14:19:21.548546,1,2,33,24,111
2026-01-07 14:19:24.551517,1,2,23,23,114
2026-01-07 14:19:27.664934,1,2,20,23,117
2026-01-07 14:19:30.545214,1,2,22,23,120
2026-01-07 14:19:33.864574,1,2,7,23,123
2026-01-07 14:19:36.675991,1,2,26,24,126
2026-01-07 14:19:40.538321,1,2,7,23,124
2026-01-07 14:19:43.639042,1,2,36,24,118
2026-01-07 14:19:46.818788,1,2,16,21,112
2026-01-07 14:19:50.601466,1,2,11,20,100
2026-01-07 14:19:54.498772,1,2,29,21,96
2026-01-07 14:19:57.364867,1,2,4,22,96
2026-01-07 14:20:00.227430,1,2,19,22,96
2026-01-07 14:20:04.016149,1,2,3,23,96
2026-01-07 14:20:06.985811,1,2,21,23,96
2026-01-07 14:20:09.806356,1,2,12,23,96
2026-01-07 14:20:13.641793,1,2,33,23,96
2026-01-07 14:20:16.439286,1,2,6,23,96
2026-01-07 14:20:20.399856,1,2,18,23,96
2026-01-07 14:20:23.164856,1,2,20,23,96
2026-01-07 14:20:26.032126,1,2,5,23,96
2026-01-07 14:20:29.923081,1,2,29,23,96
2026-01-07 14:20:33.200139,1,2,28,23,96
2026-01-07 14:20:36.067146,1,2,15,23,96
2026-01-07 14:20:38.993061,1,2,16,23,96
2026-01-07 14:20:41.801499,1,2,5,23,96
2026-01-07 14:20:44.564978,1,2,28,23,94
2026-01-07 14:20:48.469055,1,2,28,23,88
2026-01-07 14:20:51.735248,1,2,1,21,84
2026-01-07 14:20:55.625489,1,2,24,20,81
2026-01-07 14:20:58.499222,1,2,16,19,83
2026-01-07 14:21:02.383941,1,2,3,18,83
2026-01-07 14:21:05.254189,1,2,74,18,83
2026-01-07 14:21:08.118213,1,2,50,23,108
2026-01-07 14:21:12.214960,1,2,67,24,111
2026-01-07 14:21:14.778015,1,2,55,23,114
2026-01-07 14:21:17.743911,1,2,73,24,117
2026-01-07 14:21:21.540684,1,2,66,24,120
2026-01-07 14:21:24.399848,1,2,73,24,123
2026-01-07 14:21:27.188974,1,2,65,24,125
2026-01-07 14:21:31.069849,1,2,75,24,127
2026-01-07 14:21:34.053347,1,2,44,23,126
2026-01-07 14:21:38.365419,1,2,4,24,126
2026-01-07 14:21:41.193309,1,2,20,23,126
2026-01-07 14:21:44.064545,1,2,4,24,127
2026-01-07 14:21:47.951504,1,2,7,23,125
2026-01-07 14:21:51.228524,1,2,17,24,125
2026-01-07 14:21:54.615279,1,2,15,23,121
2026-01-07 14:21:57.473948,1,2,14,22,115
2026-01-07 14:22:00.382962,1,2,13,21,109
2026-01-07 14:22:03.517560,1,2,7,21,103
2026-01-07 14:22:09.646784,1,2,4,19,98
2026-01-07 14:22:10.991911,1,2,19,19,88
2026-01-07 14:22:14.473298,1,2,21,18,85
2026-01-07 14:22:17.339644,1,2,3,18,84
2026-01-07 14:22:21.129486,1,2,25,18,84
2026-01-07 14:22:25.646720,1,2,20,19,84
2026-01-07 14:22:28.449515,1,2,12,20,84
2026-01-07 14:22:30.549178,1,2,18,20,84
2026-01-07 14:22:34.377411,1,2,3,20,84
2026-01-07 14:22:37.204889,1,2,1,21,80
2026-01-07 14:22:40.044877,1,2,5,21,80
2026-01-07 14:22:43.042655,1,1,4,21,80
2026-01-07 14:22:45.814518,1,2,2,21,80
2026-01-07 14:22:50.126130,1,2,6,21,83
2026-01-07 14:22:54.204240,1,2,1,21,85
2026-01-07 14:22:57.496924,1,2,1,21,85
2026-01-07 14:23:00.450678,1,2,1,21,85
2026-01-07 14:23:03.718279,1,2,1,21,85
2026-01-07 14:23:06.595301,1,1,6,20,85
2026-01-07 14:23:09.437040,1,2,49,19,85
2026-01-07 14:23:12.840702,1,2,100,23,106
2026-01-07 14:23:16.629830,1,2,100,24,109
2026-01-07 14:23:19.518524,1,2,36,24,112
2026-01-07 14:23:23.081083,1,2,55,23,115
2026-01-07 14:23:26.666295,1,2,66,23,121
2026-01-07 14:23:30.561313,1,2,100,24,124
2026-01-07 14:23:33.423290,1,2,65,24,126
2026-01-07 14:23:36.290528,1,2,100,24,127
2026-01-07 14:23:40.181803,1,2,22,23,126
2026-01-07 14:23:43.049080,1,2,3,24,125
2026-01-07 14:23:45.817390,1,2,14,24,126
2026-01-07 14:23:49.704885,1,2,13,23,125
2026-01-07 14:23:52.517263,1,2,4,23,125
2026-01-07 14:23:58.517170,1,2,2,23,123
2026-01-07 14:24:02.417591,1,2,24,21,117
2026-01-07 14:24:06.703238,1,2,18,21,105
2026-01-07 14:24:09.979898,1,2,11,20,99
2026-01-07 14:24:13.871076,1,2,9,20,93
2026-01-07 14:24:16.840803,1,2,6,20,87
2026-01-07 14:24:19.517101,1,2,25,20,81
2026-01-07 14:24:23.393825,1,2,4,20,75
2026-01-07 14:24:26.273077,1,1,10,20,70
2026-01-07 14:24:29.644334,1,2,7,19,67
2026-01-07 14:24:33.419501,1,2,8,19,62
2026-01-07 14:24:36.296726,1,2,12,19,65
2026-01-07 14:24:39.691620,1,2,13,19,68
2026-01-07 14:24:42.644431,1,2,6,19,71
2026-01-07 14:24:45.416545,1,2,21,19,74
2026-01-07 14:24:49.302518,1,2,5,19,72
2026-01-07 14:24:52.680680,1,2,7,19,69
2026-01-07 14:24:57.088303,1,2,5,19,63
2026-01-07 14:24:59.866534,1,2,4,19,63
2026-01-07 14:25:03.738752,1,2,45,19,63
2026-01-07 14:25:06.566617,1,2,93,18,107
2026-01-07 14:25:09.476902,1,2,89,23,110
2026-01-07 14:25:13.288664,1,2,47,24,113
2026-01-07 14:25:16.232699,1,2,60,23,116
2026-01-07 14:25:19.574431,1,2,92,24,119
2026-01-07 14:25:23.366734,1,2,85,23,122
2026-01-07 14:25:26.369587,1,2,74,23,125
2026-01-07 14:25:29.647087,1,2,100,23,125
2026-01-07 14:25:33.436019,1,2,100,24,126
2026-01-07 14:25:37.327400,1,2,51,24,125
2026-01-07 14:25:40.166813,1,2,24,23,125
2026-01-07 14:25:43.066739,1,2,15,23,127
2026-01-07 14:25:46.851917,1,2,20,24,126
2026-01-07 14:25:49.748607,1,2,15,24,127
2026-01-07 14:25:52.584337,1,2,7,24,126
2026-01-07 14:25:56.476923,1,2,20,23,127
2026-01-07 14:25:59.268334,1,2,11,23,127
2026-01-07 14:26:03.234824,1,2,19,21,116
2026-01-07 14:26:05.999619,1,1,7,20,110
2026-01-07 14:26:08.968175,1,2,4,19,104
2026-01-07 14:26:12.766678,1,2,15,19,98
