Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-10 09:56:04.520205,1,1,4,22,77
2026-01-10 09:56:07.472632,1,2,1,22,78
2026-01-10 09:56:11.333105,1,1,1,22,79
2026-01-10 09:56:14.551940,1,1,1,20,76
2026-01-10 09:56:17.405422,1,1,1,19,73
2026-01-10 09:56:20.273746,1,1,1,19,70
2026-01-10 09:56:23.164123,1,1,1,19,69
2026-01-10 09:56:26.082515,1,1,1,19,69
2026-01-10 09:56:29.826318,1,1,1,19,69
2026-01-10 09:56:33.106387,1,1,1,21,69
2026-01-10 09:56:35.941034,1,1,3,22,68
2026-01-10 09:56:38.909302,1,1,1,21,67
2026-01-10 09:56:41.768775,1,2,23,21,69
2026-01-10 09:56:44.648826,1,2,30,21,106
2026-01-10 09:56:48.431809,1,2,53,24,109
2026-01-10 09:56:52.323154,1,2,19,24,112
2026-01-10 09:56:55.614773,1,2,94,24,118
2026-01-10 09:56:58.466939,1,2,47,23,121
2026-01-10 09:57:02.358105,1,2,90,23,124
2026-01-10 09:57:05.162908,1,2,19,23,125
2026-01-10 09:57:08.035475,1,2,12,23,126
2026-01-10 09:57:11.820826,1,2,12,24,125
2026-01-10 09:57:14.733958,1,2,61,23,127
2026-01-10 09:57:17.539497,1,2,35,23,126
2026-01-10 09:57:21.514501,1,2,18,23,107
2026-01-10 09:57:24.374588,1,2,13,23,110
2026-01-10 09:57:27.117440,1,2,5,23,113
2026-01-10 09:57:31.030216,1,2,5,24,116
2026-01-10 09:57:34.003714,1,2,13,24,119
2026-01-10 09:57:38.403216,1,2,12,24,125
2026-01-10 09:57:41.168079,1,2,13,23,119
2026-01-10 09:57:43.966292,1,2,4,21,113
2026-01-10 09:57:47.926393,1,2,6,20,107
2026-01-10 09:57:51.222517,1,2,13,20,101
2026-01-10 09:57:55.201223,1,2,6,20,92
2026-01-10 09:57:57.961782,1,2,4,20,92
2026-01-10 09:58:00.931231,1,2,7,20,88
2026-01-10 09:58:04.310562,1,2,5,19,85
2026-01-10 09:58:08.004446,1,2,11,19,81
2026-01-10 09:58:11.904232,1,2,1,19,78
2026-01-10 09:58:15.984012,1,2,8,19,77
2026-01-10 09:58:19.260917,1,2,2,19,77
2026-01-10 09:58:22.025638,1,2,5,19,77
2026-01-10 09:58:24.892838,1,2,6,19,77
2026-01-10 09:58:28.272657,1,2,6,19,77
2026-01-10 09:58:32.062379,1,2,1,19,77
2026-01-10 09:58:36.361637,1,2,9,18,77
2026-01-10 09:58:39.228314,1,2,8,18,77
2026-01-10 09:58:43.017495,1,2,2,18,77
2026-01-10 09:58:47.321297,1,2,6,19,77
2026-01-10 09:58:50.690362,1,2,9,20,77
2026-01-10 09:58:54.915619,1,2,5,18,77
2026-01-10 09:58:59.326366,1,2,7,17,79
2026-01-10 09:59:02.269150,1,2,3,17,82
2026-01-10 09:59:05.001417,1,2,4,17,82
2026-01-10 09:59:08.953894,1,2,4,17,82
2026-01-10 09:59:11.901217,1,2,4,16,82
2026-01-10 09:59:14.658986,1,2,1,16,76
2026-01-10 09:59:17.436896,1,1,1,16,73
2026-01-10 09:59:20.391166,1,2,6,16,70
2026-01-10 09:59:23.261136,1,2,16,16,67
2026-01-10 09:59:26.025368,1,2,10,16,67
2026-01-10 09:59:29.916556,1,2,54,16,67
2026-01-10 09:59:33.201534,1,2,10,16,67
2026-01-10 09:59:37.084503,1,2,2,16,67
2026-01-10 09:59:39.907342,1,2,1,16,67
2026-01-10 09:59:43.851510,1,2,2,16,67
2026-01-10 09:59:46.709990,1,1,3,16,67
2026-01-10 09:59:49.577206,1,2,2,16,67
2026-01-10 09:59:53.366916,1,2,42,16,67
2026-01-10 09:59:57.359525,1,2,6,16,67
2026-01-10 10:00:00.124381,1,2,12,16,107
2026-01-10 10:00:02.972662,1,2,13,24,110
2026-01-10 10:00:06.784564,1,2,15,24,113
2026-01-10 10:00:10.159486,1,2,68,23,116
2026-01-10 10:00:13.504691,1,2,12,23,119
2026-01-10 10:00:16.405809,1,2,4,23,122
2026-01-10 10:00:19.401995,1,2,4,21,122
2026-01-10 10:00:22.140213,1,2,5,19,116
2026-01-10 10:00:25.892573,1,2,20,17,110
2026-01-10 10:00:30.313716,1,2,2,15,98
2026-01-10 10:00:33.614325,1,2,2,15,92
2026-01-10 10:00:36.476407,1,2,3,14,86
2026-01-10 10:00:39.284754,1,2,8,13,80
2026-01-10 10:00:42.210402,1,2,2,13,75
2026-01-10 10:00:44.975301,1,1,6,13,72
2026-01-10 10:00:48.866516,1,1,5,13,69
2026-01-10 10:00:52.821286,1,2,3,12,67
2026-01-10 10:00:56.752115,1,2,1,14,67
2026-01-10 10:00:59.618380,1,1,5,14,67
2026-01-10 10:01:02.487346,1,1,1,15,67
2026-01-10 10:01:06.340749,1,2,4,15,67
2026-01-10 10:01:09.653526,1,1,8,16,68
2026-01-10 10:01:13.442416,1,2,3,17,71
2026-01-10 10:01:16.309171,1,2,3,17,74
2026-01-10 10:01:19.176831,1,1,2,17,76
2026-01-10 10:01:23.068010,1,2,2,17,76
2026-01-10 10:01:25.936024,1,2,1,17,79
2026-01-10 10:01:29.416663,1,2,4,17,82
2026-01-10 10:01:33.014108,1,2,3,17,88
2026-01-10 10:01:37.002165,1,2,2,17,86
2026-01-10 10:01:40.373513,1,2,21,17,80
2026-01-10 10:01:43.138237,1,2,3,17,78
2026-01-10 10:01:47.029949,1,1,3,17,78
2026-01-10 10:01:49.884569,1,1,1,17,78
2026-01-10 10:01:53.253444,1,2,1,17,78
2026-01-10 10:01:58.818938,1,1,1,17,78
2026-01-10 10:02:01.563155,1,2,3,17,78
2026-01-10 10:02:04.437876,1,2,2,16,78
2026-01-10 10:02:07.406858,1,2,3,16,78
2026-01-10 10:02:10.141079,1,2,6,15,78
2026-01-10 10:02:13.960533,1,2,2,15,78
2026-01-10 10:02:16.930097,1,1,3,16,78
2026-01-10 10:02:20.779581,1,2,5,16,70
2026-01-10 10:02:23.688539,1,2,8,17,67
2026-01-10 10:02:26.453204,1,2,3,18,70
2026-01-10 10:02:30.313428,1,2,2,19,73
2026-01-10 10:02:33.314023,1,2,9,18,76
2026-01-10 10:02:36.590875,1,2,6,18,78
2026-01-10 10:02:40.427070,1,1,1,17,78
2026-01-10 10:02:43.337729,1,2,2,17,78
2026-01-10 10:02:46.726905,1,2,1,17,78
2026-01-10 10:02:49.509571,1,1,1,17,78
2026-01-10 10:02:52.368118,1,2,3,17,78
2026-01-10 10:02:56.780308,1,1,1,17,78
2026-01-10 10:02:59.635215,1,2,6,17,78
2026-01-10 10:03:02.601379,1,2,11,17,78
2026-01-10 10:03:06.306791,1,2,3,17,78
2026-01-10 10:03:09.622967,1,2,1,16,77
2026-01-10 10:03:13.427122,1,2,1,15,74
2026-01-10 10:03:16.338731,1,2,9,15,71
2026-01-10 10:03:19.152864,1,1,1,14,71
2026-01-10 10:03:24.456691,1,1,4,14,71
2026-01-10 10:03:27.366845,1,1,1,15,71
2026-01-10 10:03:30.726968,1,1,1,15,71
2026-01-10 10:03:33.985887,1,2,7,15,71
2026-01-10 10:03:36.902466,1,2,5,15,71
2026-01-10 10:03:39.806082,1,2,4,15,71
2026-01-10 10:03:42.615269,1,2,4,15,71
2026-01-10 10:03:46.527257,1,2,2,14,71
2026-01-10 10:03:49.834140,1,1,3,14,71
2026-01-10 10:03:52.703291,1,2,2,14,71
2026-01-10 10:03:55.457429,1,2,6,15,71
2026-01-10 10:03:58.373929,1,1,1,16,71
2026-01-10 10:04:01.174137,1,1,3,18,73
2026-01-10 10:04:05.032542,1,2,4,17,76
2026-01-10 10:04:07.952658,1,2,1,17,77
2026-01-10 10:04:11.903959,1,1,1,17,70
2026-01-10 10:04:15.215946,1,1,2,18,67
2026-01-10 10:04:18.074835,1,2,3,17,64
2026-01-10 10:04:21.936318,1,1,1,14,64
2026-01-10 10:04:24.853432,1,2,2,13,63
2026-01-10 10:04:27.657590,1,1,1,13,63
2026-01-10 10:04:32.063932,1,1,1,13,63
2026-01-10 10:04:35.424755,1,1,1,12,63
2026-01-10 10:04:38.834228,1,2,1,13,63
2026-01-10 10:04:41.653107,1,2,1,13,66
2026-01-10 10:04:44.558311,1,1,2,13,69
2026-01-10 10:04:48.362748,1,1,2,13,70
2026-01-10 10:04:52.825419,1,1,2,13,67
2026-01-10 10:04:55.634475,1,2,2,13,64
2026-01-10 10:04:58.551309,1,2,2,13,64
2026-01-10 10:05:01.405256,1,2,5,13,64
2026-01-10 10:05:04.214134,1,1,1,13,64
2026-01-10 10:05:08.028655,1,2,11,14,64
2026-01-10 10:05:11.953074,1,1,1,14,69
2026-01-10 10:05:14.853275,1,2,2,14,68
2026-01-10 10:05:17.656077,1,1,2,14,67
2026-01-10 10:05:20.578774,1,2,2,15,67
2026-01-10 10:05:24.379908,1,2,5,15,67
2026-01-10 10:05:27.288666,1,1,1,15,67
2026-01-10 10:05:30.103792,1,2,1,14,67
2026-01-10 10:05:33.954764,1,2,1,14,67
2026-01-10 10:05:36.865014,1,1,1,14,67
2026-01-10 10:05:39.673300,1,2,5,14,69
2026-01-10 10:05:43.484262,1,2,6,15,72
2026-01-10 10:05:47.353192,1,2,1,16,75
2026-01-10 10:05:50.706773,1,1,1,16,79
2026-01-10 10:05:53.512505,1,1,2,15,79
2026-01-10 10:05:57.422222,1,2,3,14,79
2026-01-10 10:06:00.283597,1,2,3,15,79
2026-01-10 10:06:03.103541,1,1,2,15,79
2026-01-10 10:06:06.603062,1,2,2,15,79
2026-01-10 10:06:09.414432,1,2,2,15,79
2026-01-10 10:06:12.775837,1,2,2,15,79
2026-01-10 10:06:15.530455,1,2,8,15,77
2026-01-10 10:06:18.441722,1,2,14,15,71
2026-01-10 10:06:21.303022,1,2,5,15,68
2026-01-10 10:06:24.711194,1,2,8,15,65
2026-01-10 10:06:27.552950,1,2,11,15,62
2026-01-10 10:06:30.428596,1,1,1,15,62
2026-01-10 10:06:33.289561,1,2,4,15,62
2026-01-10 10:06:36.102894,1,2,5,15,62
2026-01-10 10:06:40.017041,1,2,6,15,62
