Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-19 21:08:15.226036,1,1,1,0,0
2026-01-19 21:08:18.028124,1,2,2,0,0
2026-01-19 21:08:21.488808,1,2,18,0,0
2026-01-19 21:08:24.419083,1,2,96,0,0
2026-01-19 21:08:28.159005,1,2,53,0,0
2026-01-19 21:08:31.538205,1,2,8,0,0
2026-01-19 21:08:35.417001,1,2,9,24,0
2026-01-19 21:08:38.296675,1,2,14,23,119
2026-01-19 21:08:41.777769,1,2,23,23,122
2026-01-19 21:08:45.056910,1,2,12,23,122
2026-01-19 21:08:47.867116,1,1,7,22,122
2026-01-19 21:08:50.777270,1,2,7,21,116
2026-01-19 21:08:54.685901,1,2,7,21,104
2026-01-19 21:08:57.496418,1,2,3,21,98
2026-01-19 21:09:00.524293,1,2,4,22,92
2026-01-19 21:09:03.312704,1,2,4,22,86
2026-01-19 21:09:07.275444,1,2,4,21,81
2026-01-19 21:09:10.129111,1,2,7,20,78
2026-01-19 21:09:12.943412,1,2,4,20,75
2026-01-19 21:09:16.799224,1,2,19,19,73
2026-01-19 21:09:20.061554,1,2,7,19,72
2026-01-19 21:09:22.868931,1,2,4,19,72
2026-01-19 21:09:25.778114,1,2,13,19,72
2026-01-19 21:09:28.687740,1,2,1,19,72
2026-01-19 21:09:31.544696,1,2,12,19,72
2026-01-19 21:09:35.806127,1,2,4,20,72
2026-01-19 21:09:39.167526,1,1,14,21,72
2026-01-19 21:09:43.115958,1,2,1,21,72
2026-01-19 21:09:45.983213,1,2,4,22,72
2026-01-19 21:09:49.875004,1,2,1,22,73
2026-01-19 21:09:52.765989,1,2,1,22,76
2026-01-19 21:09:55.533141,1,1,3,22,75
2026-01-19 21:10:00.011747,1,1,3,20,72
2026-01-19 21:10:04.926935,1,2,29,19,66
2026-01-19 21:10:07.794222,1,2,3,18,64
2026-01-19 21:10:10.763334,1,1,1,18,64
2026-01-19 21:10:13.528455,1,1,1,18,64
2026-01-19 21:10:17.324401,1,2,1,17,64
2026-01-19 21:10:21.183249,1,1,2,17,64
2026-01-19 21:10:25.099869,1,1,1,17,64
2026-01-19 21:10:28.754216,1,1,4,17,65
2026-01-19 21:10:32.065291,1,2,1,17,68
2026-01-19 21:10:36.443608,1,2,4,17,74
2026-01-19 21:10:40.357451,1,2,5,17,77
2026-01-19 21:10:43.543670,1,1,2,17,79
2026-01-19 21:10:46.577810,1,2,5,17,79
2026-01-19 21:10:49.368468,1,2,4,17,75
2026-01-19 21:10:52.338561,1,2,3,17,75
2026-01-19 21:10:55.205168,1,2,6,17,75
2026-01-19 21:10:57.970017,1,2,3,16,75
2026-01-19 21:11:01.861101,1,2,6,17,75
2026-01-19 21:11:04.830675,1,2,1,17,72
2026-01-19 21:11:08.107567,1,1,1,17,71
2026-01-19 21:11:12.408381,1,2,1,17,75
2026-01-19 21:11:16.299411,1,1,1,17,75
2026-01-19 21:11:19.576200,1,1,1,17,75
2026-01-19 21:11:23.364919,1,2,1,17,75
2026-01-19 21:11:27.256287,1,2,2,17,75
2026-01-19 21:11:30.737435,1,2,4,17,75
2026-01-19 21:11:33.604711,1,2,2,17,75
2026-01-19 21:11:36.487313,1,2,3,17,78
2026-01-19 21:11:40.363389,1,2,10,17,78
2026-01-19 21:11:43.607137,1,2,7,17,78
2026-01-19 21:11:47.428920,1,2,9,17,78
2026-01-19 21:11:50.325901,1,2,11,17,78
2026-01-19 21:11:53.163343,1,2,5,18,78
2026-01-19 21:11:58.488623,1,2,4,18,77
2026-01-19 21:12:01.355293,1,1,2,18,74
2026-01-19 21:12:04.174505,1,2,6,18,73
2026-01-19 21:12:09.243787,1,2,1,18,73
2026-01-19 21:12:12.004801,1,1,4,18,73
2026-01-19 21:12:14.882192,1,2,1,18,73
2026-01-19 21:12:18.763507,1,2,1,18,73
2026-01-19 21:12:21.630277,1,2,1,18,73
2026-01-19 21:12:24.434924,1,2,1,18,73
2026-01-19 21:12:27.393734,1,2,7,18,71
2026-01-19 21:12:31.358938,1,2,8,18,68
2026-01-19 21:12:34.199001,1,2,4,18,67
2026-01-19 21:12:36.993732,1,2,4,18,67
2026-01-19 21:12:40.883655,1,2,2,18,67
2026-01-19 21:12:44.260369,1,2,1,18,65
2026-01-19 21:12:48.049973,1,1,3,18,65
2026-01-19 21:12:50.932247,1,1,1,17,65
2026-01-19 21:12:54.774547,1,1,3,17,65
2026-01-19 21:12:57.675116,1,2,3,17,65
2026-01-19 21:13:00.544892,1,1,1,17,65
2026-01-19 21:13:04.346114,1,2,4,17,65
2026-01-19 21:13:07.302258,1,1,2,17,65
2026-01-19 21:13:10.068822,1,1,1,17,65
2026-01-19 21:13:13.956477,1,1,1,17,65
2026-01-19 21:13:16.824577,1,2,1,17,65
2026-01-19 21:13:19.607908,1,1,1,17,65
2026-01-19 21:13:23.409192,1,2,6,18,65
2026-01-19 21:13:26.919628,1,2,1,18,65
2026-01-19 21:13:31.365736,1,2,1,18,70
2026-01-19 21:13:34.245002,1,1,1,18,70
2026-01-19 21:13:36.997945,1,2,5,18,70
2026-01-19 21:13:39.865024,1,2,7,18,71
2026-01-19 21:13:43.244996,1,2,7,18,72
2026-01-19 21:13:47.045089,1,2,6,16,66
2026-01-19 21:13:50.736832,1,2,8,15,63
2026-01-19 21:13:54.114713,1,2,1,15,63
2026-01-19 21:13:57.886672,1,1,10,15,63
2026-01-19 21:14:01.744984,1,2,2,16,63
2026-01-19 21:14:04.543650,1,1,7,16,63
2026-01-19 21:14:08.540761,1,1,4,16,62
2026-01-19 21:14:11.403943,1,1,2,16,62
2026-01-19 21:14:14.375518,1,1,1,17,62
2026-01-19 21:14:17.148487,1,1,1,17,62
2026-01-19 21:14:19.976024,1,1,1,17,63
2026-01-19 21:14:23.894868,1,1,2,17,64
2026-01-19 21:14:28.811680,1,1,7,17,64
2026-01-19 21:14:31.781464,1,2,2,17,64
2026-01-19 21:14:34.550661,1,2,6,17,64
2026-01-19 21:14:37.514606,1,2,2,17,64
2026-01-19 21:14:41.303335,1,2,3,18,64
2026-01-19 21:14:44.171232,1,2,2,18,64
2026-01-19 21:14:46.907093,1,2,2,19,64
2026-01-19 21:14:50.764995,1,2,1,18,64
2026-01-19 21:14:54.103383,1,1,1,19,64
2026-01-19 21:14:57.894850,1,2,3,19,64
2026-01-19 21:15:01.784927,1,2,4,20,64
2026-01-19 21:15:04.679950,1,2,12,17,64
2026-01-19 21:15:07.517046,1,1,1,16,64
2026-01-19 21:15:12.339138,1,1,1,15,64
2026-01-19 21:15:15.537099,1,1,1,13,64
2026-01-19 21:15:18.475524,1,2,1,13,64
2026-01-19 21:15:21.444692,1,1,1,12,64
2026-01-19 21:15:24.208710,1,1,6,12,64
2026-01-19 21:15:26.925559,1,1,1,12,64
2026-01-19 21:15:29.944762,1,2,1,12,64
2026-01-19 21:15:32.817054,1,1,1,12,64
2026-01-19 21:15:35.556253,1,2,1,12,64
2026-01-19 21:15:39.466769,1,2,13,12,64
2026-01-19 21:15:43.175427,1,2,12,14,62
2026-01-19 21:15:45.934220,1,2,8,13,62
2026-01-19 21:15:48.887007,1,2,3,14,63
2026-01-19 21:15:52.778567,1,2,2,14,67
2026-01-19 21:15:55.645354,1,2,8,14,67
2026-01-19 21:15:58.512533,1,2,4,14,67
2026-01-19 21:16:01.379596,1,2,4,15,67
2026-01-19 21:16:04.760504,1,2,4,15,67
2026-01-19 21:16:07.632937,1,1,6,16,67
2026-01-19 21:16:10.539414,1,2,1,16,67
2026-01-19 21:16:14.283246,1,1,1,16,67
2026-01-19 21:16:17.664570,1,1,1,16,67
2026-01-19 21:16:21.452156,1,2,2,17,69
2026-01-19 21:16:24.316498,1,1,1,17,72
2026-01-19 21:16:27.194554,1,2,7,17,75
2026-01-19 21:16:31.025223,1,2,3,17,78
2026-01-19 21:16:33.944721,1,2,3,17,79
2026-01-19 21:16:37.325274,1,2,3,17,76
2026-01-19 21:16:41.008336,1,2,4,17,74
2026-01-19 21:16:44.812446,1,2,2,17,74
2026-01-19 21:16:48.278555,1,2,1,17,74
2026-01-19 21:16:52.484274,1,2,7,17,73
2026-01-19 21:16:56.294584,1,2,9,17,71
2026-01-19 21:16:59.645140,1,1,1,16,71
2026-01-19 21:17:03.030408,1,2,1,16,71
2026-01-19 21:17:05.870146,1,2,1,16,71
2026-01-19 21:17:08.779982,1,1,1,16,70
2026-01-19 21:17:11.625232,1,1,2,16,67
2026-01-19 21:17:15.416157,1,2,2,16,64
2026-01-19 21:17:19.304891,1,2,2,16,64
2026-01-19 21:17:23.096191,1,1,1,16,64
2026-01-19 21:17:25.903374,1,1,1,16,64
2026-01-19 21:17:28.835935,1,2,1,16,64
2026-01-19 21:17:31.697345,1,2,2,16,64
2026-01-19 21:17:34.462682,1,2,1,16,64
2026-01-19 21:17:38.352817,1,2,7,16,64
2026-01-19 21:17:41.630235,1,2,7,15,64
2026-01-19 21:17:44.434882,1,2,8,16,64
2026-01-19 21:17:47.362669,1,2,5,18,65
2026-01-19 21:17:50.244212,1,2,4,18,65
2026-01-19 21:17:53.013176,1,2,5,18,65
2026-01-19 21:17:56.873996,1,2,1,18,65
2026-01-19 21:18:00.265460,1,2,6,19,65
2026-01-19 21:18:03.244091,1,1,2,20,65
2026-01-19 21:18:05.898652,1,2,6,20,65
2026-01-19 21:18:08.866918,1,2,2,20,65
2026-01-19 21:18:11.631347,1,2,5,20,65
2026-01-19 21:18:15.937864,1,2,7,19,65
2026-01-19 21:18:19.293997,1,2,6,19,65
2026-01-19 21:18:22.694036,1,1,3,20,65
2026-01-19 21:18:26.006897,1,2,2,20,65
2026-01-19 21:18:29.961276,1,2,2,19,64
2026-01-19 21:18:32.939838,1,2,4,19,64
2026-01-19 21:18:35.634866,1,2,8,19,64
2026-01-19 21:18:39.484037,1,1,3,18,64
2026-01-19 21:18:42.870941,1,1,8,17,66
2026-01-19 21:18:46.713686,1,2,2,17,68
2026-01-19 21:18:49.534972,1,2,2,16,68
2026-01-19 21:18:53.382855,1,2,4,16,68
2026-01-19 21:18:56.243781,1,2,2,16,68
2026-01-19 21:18:59.145031,1,2,1,16,68
2026-01-19 21:19:02.626601,1,2,2,16,68
2026-01-19 21:19:05.394323,1,2,18,16,68
2026-01-19 21:19:08.258743,1,2,4,16,68
2026-01-19 21:19:11.125824,1,2,3,16,68
2026-01-19 21:19:14.914678,1,2,1,16,68
2026-01-19 21:19:18.299512,1,1,2,16,68
2026-01-19 21:19:23.125024,1,1,3,16,68
2026-01-19 21:19:26.390808,1,1,1,15,68
2026-01-19 21:19:29.250398,1,2,3,15,65
2026-01-19 21:19:32.047112,1,1,1,14,65
2026-01-19 21:19:36.043797,1,2,1,15,65
