Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-22 22:20:21.124283,1,2,29,17,72
2026-01-22 22:20:25.095768,1,2,14,23,108
2026-01-22 22:20:27.968067,1,2,5,24,111
2026-01-22 22:20:30.775912,1,2,1,23,114
2026-01-22 22:20:34.617405,1,2,7,23,117
2026-01-22 22:20:37.894127,1,2,22,24,120
2026-01-22 22:20:41.787341,1,2,1,23,123
2026-01-22 22:20:44.652733,1,2,2,22,117
2026-01-22 22:20:49.050661,1,2,2,20,107
2026-01-22 22:20:51.927062,1,2,1,20,104
2026-01-22 22:20:54.790087,1,2,6,17,100
2026-01-22 22:20:58.685237,1,2,5,15,94
2026-01-22 22:21:01.961582,1,2,5,17,89
2026-01-22 22:21:04.927863,1,2,2,18,86
2026-01-22 22:21:07.798125,1,2,8,19,83
2026-01-22 22:21:10.662258,1,2,13,20,79
2026-01-22 22:21:13.534587,1,2,7,20,73
2026-01-22 22:21:16.294512,1,2,2,20,70
2026-01-22 22:21:20.197418,1,2,10,19,70
2026-01-22 22:21:23.154982,1,2,7,19,70
2026-01-22 22:21:26.536168,1,2,3,18,70
2026-01-22 22:21:29.309970,1,2,10,18,70
2026-01-22 22:21:32.268475,1,2,11,18,70
2026-01-22 22:21:35.137685,1,2,11,18,70
2026-01-22 22:21:38.006156,1,2,3,18,70
2026-01-22 22:21:41.802787,1,2,6,18,70
2026-01-22 22:21:45.170576,1,1,5,17,70
2026-01-22 22:21:48.448209,1,1,1,17,70
2026-01-22 22:21:51.254081,1,2,5,17,70
2026-01-22 22:21:55.109756,1,2,1,17,70
2026-01-22 22:21:57.970830,1,2,6,16,70
2026-01-22 22:22:00.765341,1,2,6,16,70
2026-01-22 22:22:04.217188,1,2,2,16,70
2026-01-22 22:22:07.186708,1,2,3,16,69
2026-01-22 22:22:09.950893,1,2,5,16,66
2026-01-22 22:22:12.807217,1,2,4,16,63
2026-01-22 22:22:16.624930,1,2,5,16,62
2026-01-22 22:22:20.498726,1,2,7,16,62
2026-01-22 22:22:24.390316,1,2,2,16,62
2026-01-22 22:22:27.666355,1,2,8,16,62
2026-01-22 22:22:30.536085,1,2,4,16,62
2026-01-22 22:22:33.401067,1,2,8,15,62
2026-01-22 22:22:36.226608,1,2,12,15,62
2026-01-22 22:22:39.585439,1,2,1,15,62
2026-01-22 22:22:44.050736,1,2,1,15,65
2026-01-22 22:22:47.340685,1,2,3,15,68
2026-01-22 22:22:50.296910,1,2,1,16,68
2026-01-22 22:22:53.164302,1,1,4,16,68
2026-01-22 22:22:55.936123,1,2,3,16,68
2026-01-22 22:22:59.820215,1,2,6,16,68
2026-01-22 22:23:02.772539,1,2,6,16,68
2026-01-22 22:23:07.196296,1,2,8,16,68
2026-01-22 22:23:09.957784,1,2,3,16,68
2026-01-22 22:23:12.825034,1,2,4,16,68
2026-01-22 22:23:16.717215,1,2,4,16,68
2026-01-22 22:23:20.095204,1,2,4,16,68
2026-01-22 22:23:23.755347,1,2,2,16,68
2026-01-22 22:23:26.665253,1,2,11,16,68
2026-01-22 22:23:29.535509,1,2,4,16,68
2026-01-22 22:23:33.407301,1,2,5,16,68
2026-01-22 22:23:36.274405,1,2,3,16,68
