Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-25 01:17:10.627542,1,1,1,0,0
2026-01-25 01:17:14.522260,1,2,18,0,0
2026-01-25 01:17:17.930140,1,2,28,0,0
2026-01-25 01:17:20.673574,1,2,13,0,0
2026-01-25 01:17:24.540742,1,2,3,23,114
2026-01-25 01:17:27.893655,1,2,9,23,117
2026-01-25 01:17:31.643866,1,2,4,23,120
2026-01-25 01:17:35.984377,1,2,6,23,120
2026-01-25 01:17:38.988674,1,2,4,22,114
2026-01-25 01:17:41.656220,1,2,7,22,108
2026-01-25 01:17:45.564475,1,1,4,21,102
2026-01-25 01:17:48.511791,1,2,5,21,96
2026-01-25 01:17:51.284460,1,2,3,21,90
2026-01-25 01:17:55.176249,1,2,9,21,84
2026-01-25 01:17:58.148066,1,2,6,21,81
2026-01-25 01:18:02.658508,1,2,5,21,75
2026-01-25 01:18:05.456485,1,1,2,21,74
2026-01-25 01:18:08.199346,1,2,20,21,74
2026-01-25 01:18:12.079288,1,2,6,21,74
2026-01-25 01:18:15.344690,1,2,6,21,74
2026-01-25 01:18:19.350172,1,1,3,21,74
2026-01-25 01:18:22.105050,1,2,6,21,74
2026-01-25 01:18:24.873850,1,2,7,21,74
2026-01-25 01:18:28.759754,1,2,8,21,74
2026-01-25 01:18:31.681795,1,2,5,21,75
2026-01-25 01:18:35.005735,1,2,2,21,78
2026-01-25 01:18:38.715501,1,2,9,21,81
2026-01-25 01:18:41.626377,1,2,3,20,81
2026-01-25 01:18:45.243549,1,2,8,21,81
2026-01-25 01:18:47.891333,1,2,2,21,77
2026-01-25 01:18:50.777238,1,2,4,20,76
2026-01-25 01:18:54.607355,1,2,13,19,76
2026-01-25 01:18:57.873412,1,2,4,16,73
2026-01-25 01:19:01.947777,1,1,1,15,70
2026-01-25 01:19:06.257904,1,1,4,13,67
2026-01-25 01:19:09.125896,1,2,7,13,67
2026-01-25 01:19:11.973845,1,2,3,14,67
2026-01-25 01:19:14.723044,1,2,3,15,67
2026-01-25 01:19:18.677047,1,2,9,15,67
2026-01-25 01:19:21.549365,1,2,1,14,67
2026-01-25 01:19:25.400527,1,2,6,14,67
2026-01-25 01:19:28.249355,1,2,7,14,67
2026-01-25 01:19:31.076242,1,2,4,14,67
2026-01-25 01:19:34.057788,1,2,4,14,67
2026-01-25 01:19:37.775683,1,2,2,14,67
2026-01-25 01:19:40.600906,1,2,18,14,67
2026-01-25 01:19:44.533826,1,2,12,14,68
2026-01-25 01:19:47.400354,1,2,11,14,70
2026-01-25 01:19:50.273926,1,2,1,14,72
2026-01-25 01:19:54.054916,1,2,4,14,71
2026-01-25 01:19:57.347947,1,2,6,14,71
2026-01-25 01:20:00.728536,1,2,6,14,71
2026-01-25 01:20:03.681877,1,2,1,15,71
